C_[0]_average,C_[0]_stddev,v_average:0,v_average:1,v_average:2,v_stddev:0,v_stddev:1,v_stddev:2,Points:0
0,0,0,0,0,0,0,0,-0.567901015281677
0,0,0,0,0,0,0,0,-0.556542992591858
0,0,0,0,0,0,0,0,-0.545184969902039
0,0,0,0,0,0,0,0,-0.533826947212219
0,0,0,0,0,0,0,0,-0.5224689245224
9.12609539372122E-09,1.40302209638266E-09,-5.7320938936913E-10,1.07175753306612E-08,0,4.09738683633861E-09,4.75312365658094E-09,0,-0.511110901832581
0.008695189967406,0.001336781735859,-0.000546139658027,0.01021155629651,0,0.003903906447305,0.004528700361665,0,-0.499752879142761
0.033009391436982,0.009771588743663,0.001573274053096,0.063421148404566,0,0.003139098407649,0.020531107743498,0,-0.488394886255264
0.040125321147134,0.004701881492857,0.000594547640906,0.074417519121025,0,0.004201824872292,0.007174377745592,0,-0.477036863565445
0.059615456172546,0.005325144884964,0.001438027722924,0.099996050060103,0,0.004453329777852,0.009938333224368,0,-0.465678840875626
0.077044358066775,0.006493479980591,0.002062604213218,0.112561070455313,0,0.004537920320708,0.0084434138706,0,-0.454320818185806
0.093265545712139,0.00583316501071,0.00333303425572,0.120744767915019,0,0.004061006680451,0.00654587111002,0,-0.442962795495987
0.110762068655438,0.005792754705076,0.003711460534052,0.125656688009055,0,0.004486070121703,0.005149668362945,0,-0.431604772806168
0.126905952575444,0.005383833904184,0.004512884430477,0.127161245815589,0,0.004387744634815,0.00396866282148,0,-0.420246750116348
0.143634594902871,0.005893361685866,0.005490515757033,0.126341376419279,0,0.004332432260469,0.003353028335071,0,-0.408888727426529
0.158685140930168,0.005287463881033,0.00664525478414,0.124340849728241,0,0.003856864432027,0.003458888330142,0,-0.39753070473671
0.177326520272835,0.005461562557306,0.007639660471611,0.119137192222861,0,0.003955775590115,0.0034572265813,0,-0.38617268204689
0.193763492726387,0.005883113914891,0.008504710505425,0.113014285027995,0,0.003430176504128,0.004212557475837,0,-0.374814659357071
0.212095560297362,0.005741897219253,0.008918292700073,0.104106184483328,0,0.003190757297617,0.004763710339021,0,-0.363456636667252
0.228824388766515,0.005899073584235,0.009695061316761,0.093506116629215,0,0.003336205581354,0.00569960306962,0,-0.352098643779755
0.247169505335858,0.006038924552871,0.010492643097316,0.081561663356096,0,0.004380438696345,0.006426999776709,0,-0.340740621089935
0.266409983844768,0.005152261562902,0.010248741516268,0.066625246967566,0,0.003788624704785,0.005843471167194,0,-0.329382598400116
0.284281857597896,0.006953180792239,0.010957257275133,0.051288278510702,0,0.005011756529319,0.006603212604713,0,-0.318024575710297
0.303867811449477,0.006586509395097,0.010729682062755,0.034803854461541,0,0.004500994727091,0.006025528714216,0,-0.306666553020477
0.324440061255409,0.009526478585367,0.010278968848709,0.01702684717423,0,0.004480656097984,0.007558774868172,0,-0.295308530330658
0.345161590163936,0.00631810407954,0.011002929540984,-0.001377070294264,0,0.005705937800163,0.009054314140748,0,-0.283950507640839
0.368522282981518,0.008816582117241,0.009282066346632,-0.024084824545213,0,0.005408629027626,0.007041937179255,0,-0.272592484951019
0.388973666252878,0.009338185534049,0.008262479859791,-0.039490022220128,0,0.005025617353851,0.00941285446508,0,-0.2612344622612
0.414020279071672,0.009316017936751,0.006132284555428,-0.05727372914419,0,0.006047995840002,0.007741318135455,0,-0.249876439571381
0.440660905450349,0.009240942859216,0.004749482571134,-0.077521460928746,0,0.005561509365315,0.008397443555024,0,-0.238518431782722
0.468168533765881,0.011593331417084,0.004161734547662,-0.096291749173226,0,0.00567700655311,0.009903198565128,0,-0.227160409092903
0.49712540831647,0.011146511004986,0.002864989920509,-0.110687453342904,0,0.006353369054453,0.006637383312069,0,-0.215802386403084
0.52856744768295,0.010948154704682,0.001990827323291,-0.12510514903213,0,0.005948642639865,0.005437437956746,0,-0.204444363713264
0.560707865613325,0.011436296684517,0.000816331565706,-0.134576708717471,0,0.006650783187431,0.005436187470266,0,-0.193086341023445
0.596516890317442,0.013144603594618,-0.000633675438464,-0.144919642650098,0,0.006714505699976,0.006307330169313,0,-0.181728318333626
0.633701209994584,0.015110958414469,-0.002250880561158,-0.150646423224204,0,0.005693066371715,0.005194498342763,0,-0.170370310544968
0.675547216332229,0.016017676028648,-0.002006145740994,-0.152932327149095,0,0.006567411946785,0.005221783088414,0,-0.159012287855148
0.721587568938285,0.015463726732871,-0.00168191113403,-0.149127279087887,0,0.006011987843012,0.00506461998389,0,-0.147654265165329
0.774154792759788,0.017337514994739,-0.001772412064732,-0.137903489535214,0,0.007819552464454,0.006244303968226,0,-0.13629624247551
0.830126181426417,0.02059665314204,-0.001327051585468,-0.116293841507316,0,0.008475355532584,0.012318357008355,0,-0.12493821978569
0.885679517301845,0.02717085853949,0.001332736736295,-0.086718449781782,0,0.0092904079425,0.014821606539381,0,-0.113580204546452
0.99928545907264,0.005534810223697,-1.51627692982329E-05,-0.000761303218761,0,0.000117450305949,0.00589702937535,0,-0.102222181856632
1,0,0,0,0,0,0,0,-0.090864159166813
1,0,0,0,0,0,0,0,-0.079506143927574
1,0,0,0,0,0,0,0,-0.068148121237755
1,0,0,0,0,0,0,0,-0.056790102273226
1,0,0,0,0,0,0,0,-0.045432079583407
1,0,0,0,0,0,0,0,-0.034074060618878
1,0,0,0,0,0,0,0,-0.022716039791703
1,0,0,0,0,0,0,0,-0.011358019895852
1,0,0,0,0,0,0,0,-1.99840144432528E-15
1,0,0,0,0,0,0,0,0.011358019895852
1,0,0,0,0,0,0,0,0.022716039791703
1,0,0,0,0,0,0,0,0.034074060618878
