C_[0]_average,C_[0]_stddev,Cd_[0]_average,Cd_[0]_stddev,v_average:0,v_average:1,v_average:2,v_stddev:0,v_stddev:1,v_stddev:2,Points:0
0,0,0,0,0,0,0,0,0,0,-0.567901015281677
0,0,0,0,0,0,0,0,0,0,-0.556542992591858
0,0,0,0,0,0,0,0,0,0,-0.545184969902039
0,0,0,0,0,0,0,0,0,0,-0.533826947212219
0,0,0,0,0,0,0,0,0,0,-0.5224689245224
1.96991409387701E-08,1.01937249199293E-08,0.134314119815826,0.075562365353108,-9.32987172542322E-10,2.30140311834668E-08,0,1.32425420009358E-08,2.31028349505487E-08,0,-0.511110901832581
0.018768979030887,0.009712384762616,127972,71994.3515625,-0.000888928882684,0.021927370080124,0,0.012617226132554,0.022011917363797,0,-0.499752879142761
0.046928738776143,0.017312270019748,304923.5,115561.03125,0.001055530627361,0.074370873116331,0,0.012309991809741,0.024314099892697,0,-0.488394886255264
0.07945308808924,0.012556704209259,513965.84375,101429.734375,0.000877663286462,0.112001150592912,0,0.011791231360279,0.013038598584097,0,-0.477036863565445
0.104617187452733,0.011108880402151,685916.3125,106140.90625,0.00493061637876,0.128675185769534,0,0.011030929482435,0.010011522261687,0,-0.465678840875626
0.131923559927584,0.013525503404839,862673.375,118938.046875,0.006166148876371,0.142313438387472,0,0.008774405654821,0.009041808289966,0,-0.454320818185806
0.153455131834258,0.010039172547936,1010328.8125,110900.8515625,0.007758514864951,0.149330156206502,0,0.009098205317713,0.005804591644943,0,-0.442962795495987
0.17299641379061,0.011705733373491,1138950.125,105918.546875,0.01285595073232,0.147864623916193,0,0.006594870922494,0.006481276176681,0,-0.431604772806168
0.191222585480552,0.010075939466819,1243406.875,115782.4140625,0.012562887147716,0.139073573025455,0,0.007260900950319,0.007629658307489,0,-0.420246750116348
0.203819627465538,0.008556913242744,1330193.75,112526.7109375,0.015573985617204,0.127335608613685,0,0.006189418878135,0.007889922919448,0,-0.408888727426529
0.215580617636188,0.008213183225929,1404508.875,110345.1328125,0.016370722040725,0.110669260038855,0,0.006086961549352,0.008434370457855,0,-0.39753070473671
0.222773727017155,0.007201321859347,1451409.875,108153.921875,0.016863398655094,0.094895079252782,0,0.005850487662725,0.009344922091863,0,-0.38617268204689
0.228551487394513,0.005504429659233,1500779.625,112693.3828125,0.017593339123572,0.077436849723284,0,0.004864826436335,0.009232744630377,0,-0.374814659357071
0.230929198306716,0.004641810403129,1527348.625,107385.640625,0.017399228358494,0.060897382685346,0,0.005468237933961,0.007623629245124,0,-0.363456636667252
0.231177712558289,0.004471504321278,1522411.375,106938.7578125,0.018378658469402,0.044184927979621,0,0.004931323796712,0.007488673402689,0,-0.352098643779755
0.229799882634236,0.00387523944257,1523320.875,99743.6796875,0.01816585834216,0.028302662213947,0,0.004990362354941,0.006426766843051,0,-0.340740621089935
0.227188477440187,0.003842302716454,1500130.375,84166.6953125,0.019056980241869,0.01464876186051,0,0.004478735720855,0.006043852581647,0,-0.329382598400116
