C_[0]_average,C_[0]_stddev,Cd_[0]_average,Cd_[0]_stddev,v_average:0,v_average:1,v_average:2,v_stddev:0,v_stddev:1,v_stddev:2,Points:0
0,0,0,0,0,0,0,0,0,0,-0.567901015281677
0,0,0,0,0,0,0,0,0,0,-0.556542992591858
0,0,0,0,0,0,0,0,0,0,-0.545184969902039
0,0,0,0,0,0,0,0,0,0,-0.533826947212219
0,0,0,0,0,0,0,0,0,0,-0.5224689245224
7.04160053970936E-09,5.80682733268326E-09,0.047864381223917,0.043559473007917,6.2538472109815E-10,5.90240983158294E-09,0,3.66485402133943E-09,6.52206524873871E-09,0,-0.511110901832581
0.006709112895272,0.005532629031487,45604.32421875,41502.59375,0.000595852601989,0.005623719741758,0,0.003491801645153,0.006214098486154,0,-0.499752879142761
0.021112864190264,0.006522452372213,131434.828125,47400.87890625,-0.000458172742124,0.02379218738481,0,0.005686025213141,0.011345355980828,0,-0.488394886255264
0.043028972740567,0.006678770608678,280294.03125,66381.3125,0.001110002280988,0.061850521426965,0,0.005611860410916,0.010794602081709,0,-0.477036863565445
0.055595412079018,0.006009166727895,371395.21875,61021.28125,0.001214176482481,0.07729959028905,0,0.00445878730343,0.008263398864967,0,-0.465678840875626
0.074460149116553,0.00611568842265,477124.1875,59556.28515625,0.0019693238365,0.097916738360857,0,0.003237526294762,0.006927208788011,0,-0.454320818185806
0.088894410209212,0.004766956106559,573603.25,64497.7109375,0.003975146647119,0.108761839208177,0,0.003377748508226,0.004175745132294,0,-0.442962795495987
0.107249535778437,0.005642676543938,701703.875,76830.5390625,0.005304492467035,0.119598162797089,0,0.002222534060436,0.003484018123129,0,-0.431604772806168
0.121763640945942,0.005577492997092,797968,85414.2734375,0.006447749816536,0.123561639532925,0,0.0023558468282,0.001962795299353,0,-0.420246750116348
0.137024119995931,0.005717849448886,911441.0625,91224.140625,0.008292191404383,0.125359180107027,0,0.002165545837566,0.001507272967535,0,-0.408888727426529
0.153671828245105,0.005150256934242,1001359.1875,81939.703125,0.008951711444495,0.124657801218883,0,0.002056821178131,0.001415771599127,0,-0.39753070473671
0.170008143575982,0.005698558691015,1132149.125,87134.875,0.011079508236592,0.120732716981596,0,0.00196689409083,0.002042799814122,0,-0.38617268204689
0.18692467062241,0.005709328450784,1231102,103247.7265625,0.01202631028947,0.11483925525217,0,0.001836335927746,0.002466898483354,0,-0.374814659357071
0.202682281618017,0.006242990204804,1344467.375,99844.5703125,0.012853401464328,0.107383311958197,0,0.002129861925645,0.00344461402797,0,-0.363456636667252
0.219419060887649,0.00665549619874,1424597.5,90386.2421875,0.014689720474086,0.096441990829507,0,0.001884418348383,0.004310871819143,0,-0.352098643779755
0.238487127527897,0.006318313445416,1564314.5,129506.59375,0.014421823231997,0.083815847678129,0,0.002384236962413,0.004297659965092,0,-0.340740621089935
0.25688490258513,0.007051584371342,1698546.375,119830.8828125,0.015342866439762,0.068882645325523,0,0.002477486697418,0.006147918540752,0,-0.329382598400116
0.273146235661292,0.006222203088554,1803091.75,114546.1484375,0.015593355579963,0.055261879069291,0,0.003000881594348,0.005050354211748,0,-0.318024575710297
0.291695139753707,0.007342030894008,1903227.625,122568.3984375,0.016678620855855,0.03913315431221,0,0.002908268063213,0.007470839135219,0,-0.306666553020477
0.311872208879346,0.007169933778679,2026811.625,112881.6875,0.015975639000024,0.02051512472782,0,0.003234398047828,0.007249541320884,0,-0.295308530330658
0.33253949180328,0.007203751890447,2199548,116798.375,0.015965519672131,0.000842816836064,0,0.003209233823676,0.008499604792116,0,-0.283950507640839
0.351756218407961,0.007997583957203,2299361.25,129665.1171875,0.014245349810074,-0.014497467968493,0,0.004465550111861,0.006453390963396,0,-0.272592484951019
0.376972516745162,0.0099118880465,2455319.75,142121.984375,0.014121526131714,-0.036058249473114,0,0.005032765627724,0.008171242399775,0,-0.2612344622612
0.397334477978592,0.007580036270621,2600307.75,135165.921875,0.013107617787553,-0.052374995670966,0,0.005028804846413,0.00801177396727,0,-0.249876439571381
0.427445772663602,0.009960962794726,2820262.75,131777.71875,0.012848355532286,-0.074136066771369,0,0.00426037681383,0.00853043472483,0,-0.238518431782722
0.449558158132359,0.010553717752297,2944921.5,151166.578125,0.011556267748867,-0.087395763733905,0,0.004631207735842,0.006790123365418,0,-0.227160409092903
0.480338145925714,0.011588283013257,3137449,154937.375,0.009958905706777,-0.103884648315026,0,0.004521742264102,0.007568318298471,0,-0.215802386403084
0.511739972277057,0.01222127475035,3378485,175905.78125,0.007703293934906,-0.119616444624489,0,0.004886453539964,0.006675261696152,0,-0.204444363713264
0.543905439770849,0.013260756873876,3563484.25,160923.8125,0.005623765042298,-0.132329938787654,0,0.003895874984221,0.005820341435957,0,-0.193086341023445
0.580768054069795,0.014771839675041,3785805,214222.953125,0.004333167989227,-0.144202725015137,0,0.00457505723532,0.005170764546728,0,-0.181728318333626
0.617636964258465,0.015256843020045,4036413.25,178850.484375,0.002008526718288,-0.150618668764184,0,0.004402804816107,0.003950394614227,0,-0.170370310544968
0.659083708261223,0.015392162886742,4320365.5,199680.84375,-9.24188155288003E-05,-0.153974523533513,0,0.004808007702876,0.003626711445191,0,-0.159012287855148
0.708827552156139,0.016623264473447,4673692,171637.34375,-0.000684381165739,-0.153637295117361,0,0.005692002673484,0.003537978983869,0,-0.147654265165329
0.760385104849586,0.018904903800762,4998299,191802.875,-0.002167705954723,-0.145410079621585,0,0.005103034107547,0.006151456434455,0,-0.13629624247551
