"id","C_[0]","Cd_[0]","type","v:0","v:1","v:2","Points:0","Points:1","Points:2"
1,0,0,1,0,0,0,0,0,0
2,0,0,1,0,0,0,0.03125,0,0
3,0,0,1,0,0,0,0.0625,0,0
4,0,0,1,0,0,0,0.09375,0,0
5,0,0,1,0,0,0,0.125,0,0
6,0,0,1,0,0,0,0.15625,0,0
7,0,0,1,0,0,0,0.1875,0,0
8,0,0,1,0,0,0,0.21875,0,0
9,0,0,1,0,0,0,0.25,0,0
10,0,0,1,0,0,0,0.28125,0,0
11,0,0,1,0,0,0,0.3125,0,0
12,0,0,1,0,0,0,0.34375,0,0
13,0,0,1,0,0,0,0.375,0,0
14,0,0,1,0,0,0,0.40625,0,0
15,0,0,1,0,0,0,0.4375,0,0
16,0,0,1,0,0,0,0.46875,0,0
17,0,0,1,0,0,0,0.5,0,0
18,0,0,1,0,0,0,0.53125,0,0
19,0,0,1,0,0,0,0.5625,0,0
20,0,0,1,0,0,0,0.59375,0,0
21,0,0,1,0,0,0,0.625,0,0
22,0,0,1,0,0,0,0.65625,0,0
23,0,0,1,0,0,0,0.6875,0,0
24,0,0,1,0,0,0,0.71875,0,0
25,0,0,1,0,0,0,0.75,0,0
26,0,0,1,0,0,0,0.78125,0,0
27,0,0,1,0,0,0,0.8125,0,0
28,0,0,1,0,0,0,0.84375,0,0
29,0,0,1,0,0,0,0.875,0,0
30,0,0,1,0,0,0,0.90625,0,0
31,0,0,1,0,0,0,0.9375,0,0
32,0,0,1,0,0,0,0.96875,0,0
33,0,0,1,0,0,0,1,0,0
34,0,0,1,0,0,0,0,0.03125,0
35,1116.6,1089,1,0,0,0,0.03125,0.03125,0
36,2221.94,6534,1,0,0,0,0.0625,0.03125,0
37,3304.93,2178,1,0,0,0,0.09375,0.03125,0
38,4354.78,3267,1,0,0,0,0.125,0.03125,0
39,5361.1,7623,1,0,0,0,0.15625,0.03125,0
40,6314.1,6534,1,0,0,0,0.1875,0.03125,0
41,7204.62,5445,1,0,0,0,0.21875,0.03125,0
42,8024.26,9801,1,0,0,0,0.25,0.03125,0
43,8765.42,6534,1,0,0,0,0.28125,0.03125,0
44,9421.379999999999,8712,1,0,0,0,0.3125,0.03125,0
45,9986.280000000001,5445,1,0,0,0,0.34375,0.03125,0
46,10455.2,5445,1,0,0,0,0.375,0.03125,0
47,10824.1,15246,1,0,0,0,0.40625,0.03125,0
48,11089.8,10890,1,0,0,0,0.4375,0.03125,0
49,11250.1,7623,1,0,0,0,0.46875,0.03125,0
50,11303.6,17424,1,0,0,0,0.5,0.03125,0
51,11250.1,2178,1,0,0,0,0.53125,0.03125,0
52,11089.8,13068,1,0,0,0,0.5625,0.03125,0
53,10824.1,13068,1,0,0,0,0.59375,0.03125,0
54,10455.2,7623,1,0,0,0,0.625,0.03125,0
55,9986.280000000001,8712,1,0,0,0,0.65625,0.03125,0
56,9421.379999999999,10890,1,0,0,0,0.6875,0.03125,0
57,8765.42,8712,1,0,0,0,0.71875,0.03125,0
58,8024.26,13068,1,0,0,0,0.75,0.03125,0
59,7204.62,6534,1,0,0,0,0.78125,0.03125,0
60,6314.1,6534,1,0,0,0,0.8125,0.03125,0
61,5361.1,3267,1,0,0,0,0.84375,0.03125,0
62,4354.78,3267,1,0,0,0,0.875,0.03125,0
63,3304.93,2178,1,0,0,0,0.90625,0.03125,0
64,2221.94,1089,1,0,0,0,0.9375,0.03125,0
65,1116.6,2178,1,0,0,0,0.96875,0.03125,0
66,0,0,1,0,0,0,1,0.03125,0
67,0,0,1,0,0,0,0,0.0625,0
68,2245.4,1089,1,0,0,0,0.03125,0.0625,0
69,4468.13,4356,1,0,0,0,0.0625,0.0625,0
70,6645.84,9801,1,0,0,0,0.09375,0.0625,0
71,8756.780000000001,8712,1,0,0,0,0.125,0.0625,0
72,10780.1,14157,1,0,0,0,0.15625,0.0625,0
73,12696,11979,1,0,0,0,0.1875,0.0625,0
74,14486.2,13068,1,0,0,0,0.21875,0.0625,0
75,16133.8,25047,1,0,0,0,0.25,0.0625,0
76,17623.5,10890,1,0,0,0,0.28125,0.0625,0
77,18941.8,19602,1,0,0,0,0.3125,0.0625,0
78,20077,27225,1,0,0,0,0.34375,0.0625,0
79,21019.3,21780,1,0,0,0,0.375,0.0625,0
80,21760.4,25047,1,0,0,0,0.40625,0.0625,0
81,22294.3,22869,1,0,0,0,0.4375,0.0625,0
82,22616.4,28314,1,0,0,0,0.46875,0.0625,0
83,22724.1,23958,1,0,0,0,0.5,0.0625,0
84,22616.4,22869,1,0,0,0,0.53125,0.0625,0
85,22294.3,26136,1,0,0,0,0.5625,0.0625,0
86,21760.4,18513,1,0,0,0,0.59375,0.0625,0
87,21019.3,26136,1,0,0,0,0.625,0.0625,0
88,20077,26136,1,0,0,0,0.65625,0.0625,0
89,18941.8,26136,1,0,0,0,0.6875,0.0625,0
90,17623.5,17424,1,0,0,0,0.71875,0.0625,0
91,16133.8,10890,1,0,0,0,0.75,0.0625,0
92,14486.2,28314,1,0,0,0,0.78125,0.0625,0
93,12696,3267,1,0,0,0,0.8125,0.0625,0
94,10780.1,7623,1,0,0,0,0.84375,0.0625,0
95,8756.780000000001,7623,1,0,0,0,0.875,0.0625,0
96,6645.84,9801,1,0,0,0,0.90625,0.0625,0
97,4468.13,3267,1,0,0,0,0.9375,0.0625,0
98,2245.4,2178,1,0,0,0,0.96875,0.0625,0
99,0,0,1,0,0,0,1,0.0625,0
100,0,0,1,0,0,0,0,0.09375,0
101,3398.76,1089,1,0,0,0,0.03125,0.09375,0
102,6763.11,6534,1,0,0,0,0.0625,0.09375,0
103,10059.1,10890,1,0,0,0,0.09375,0.09375,0
104,13253.8,13068,1,0,0,0,0.125,0.09375,0
105,16315.6,10890,1,0,0,0,0.15625,0.09375,0
106,19214.5,18513,1,0,0,0,0.1875,0.09375,0
107,21922.7,10890,1,0,0,0,0.21875,0.09375,0
108,24414.8,31581,1,0,0,0,0.25,0.09375,0
