"id","C_[0]","Cd_[0]","type","v:0","v:1","v:2","Points:0","Points:1","Points:2"
1,0,0,1,0,0,0,0,0,0
2,0,0,1,0,0,0,0.0625,0,0
3,0,0,1,0,0,0,0.125,0,0
4,0,0,1,0,0,0,0.1875,0,0
5,0,0,1,0,0,0,0.25,0,0
6,0,0,1,0,0,0,0.3125,0,0
7,0,0,1,0,0,0,0.375,0,0
8,0,0,1,0,0,0,0.4375,0,0
9,0,0,1,0,0,0,0.5,0,0
10,0,0,1,0,0,0,0.5625,0,0
11,0,0,1,0,0,0,0.625,0,0
12,0,0,1,0,0,0,0.6875,0,0
13,0,0,1,0,0,0,0.75,0,0
14,0,0,1,0,0,0,0.8125,0,0
15,0,0,1,0,0,0,0.875,0,0
16,0,0,1,0,0,0,0.9375,0,0
17,0,0,1,0,0,0,1,0,0
18,0,0,1,0,0,0,0,0.0625,0
19,1215.58,2023,1,0,0,0,0.0625,0.0625,0
20,2382.4,2890,1,0,0,0,0.125,0.0625,0
21,3454.29,6358,1,0,0,0,0.1875,0.0625,0
22,4389.86,4624,1,0,0,0,0.25,0.0625,0
23,5154.16,6358,1,0,0,0,0.3125,0.0625,0
24,5719.7,3179,1,0,0,0,0.375,0.0625,0
25,6066.83,7514,1,0,0,0,0.4375,0.0625,0
26,6183.84,7514,1,0,0,0,0.5,0.0625,0
27,6066.83,5780,1,0,0,0,0.5625,0.0625,0
28,5719.7,4913,1,0,0,0,0.625,0.0625,0
29,5154.16,6358,1,0,0,0,0.6875,0.0625,0
30,4389.86,6936,1,0,0,0,0.75,0.0625,0
31,3454.29,4913,1,0,0,0,0.8125,0.0625,0
32,2382.4,1445,1,0,0,0,0.875,0.0625,0
33,1215.58,2023,1,0,0,0,0.9375,0.0625,0
34,0,0,1,0,0,0,1,0.0625,0
35,0,0,1,0,0,0,0,0.125,0
36,2482.25,1156,1,0,0,0,0.0625,0.125,0
37,4864.29,5780,1,0,0,0,0.125,0.125,0
38,7051.39,7514,1,0,0,0,0.1875,0.125,0
39,8959.059999999999,8381,1,0,0,0,0.25,0.125,0
40,10516.4,12427,1,0,0,0,0.3125,0.125,0
41,11668,11271,1,0,0,0,0.375,0.125,0
42,12374.5,10982,1,0,0,0,0.4375,0.125,0
43,12612.5,8381,1,0,0,0,0.5,0.125,0
44,12374.5,10982,1,0,0,0,0.5625,0.125,0
45,11668,14450,1,0,0,0,0.625,0.125,0
46,10516.4,10404,1,0,0,0,0.6875,0.125,0
47,8959.059999999999,7225,1,0,0,0,0.75,0.125,0
48,7051.39,5780,1,0,0,0,0.8125,0.125,0
49,4864.29,5202,1,0,0,0,0.875,0.125,0
50,2482.25,2601,1,0,0,0,0.9375,0.125,0
51,0,0,1,0,0,0,1,0.125,0
52,0,0,1,0,0,0,0,0.1875,0
53,3853.84,4913,1,0,0,0,0.0625,0.1875,0
54,7550.19,7514,1,0,0,0,0.125,0.1875,0
55,10940.8,12138,1,0,0,0,0.1875,0.1875,0
56,13894.6,13005,1,0,0,0,0.25,0.1875,0
57,16302.8,13872,1,0,0,0,0.3125,0.1875,0
58,18081.3,19652,1,0,0,0,0.375,0.1875,0
59,19171.5,20808,1,0,0,0,0.4375,0.1875,0
60,19538.6,16762,1,0,0,0,0.5,0.1875,0
61,19171.5,15028,1,0,0,0,0.5625,0.1875,0
62,18081.3,16184,1,0,0,0,0.625,0.1875,0
63,16302.8,15895,1,0,0,0,0.6875,0.1875,0
64,13894.6,12138,1,0,0,0,0.75,0.1875,0
65,10940.8,10982,1,0,0,0,0.8125,0.1875,0
66,7550.19,7803,1,0,0,0,0.875,0.1875,0
67,3853.84,3179,1,0,0,0,0.9375,0.1875,0
68,0,0,1,0,0,0,1,0.1875,0
69,0,0,1,0,0,0,0,0.25,0
70,5390.03,5491,1,0,0,0,0.0625,0.25,0
71,10555.5,10693,1,0,0,0,0.125,0.25,0
72,15286.4,14450,1,0,0,0,0.1875,0.25,0
73,19399.6,20230,1,0,0,0,0.25,0.25,0
74,22745.8,23698,1,0,0,0,0.3125,0.25,0
75,25212.4,23120,1,0,0,0,0.375,0.25,0
76,26721.9,26010,1,0,0,0,0.4375,0.25,0
77,27230,29767,1,0,0,0,0.5,0.25,0
78,26721.9,27744,1,0,0,0,0.5625,0.25,0
79,25212.4,27166,1,0,0,0,0.625,0.25,0
80,22745.8,23120,1,0,0,0,0.6875,0.25,0
81,19399.6,21675,1,0,0,0,0.75,0.25,0
82,15286.4,14450,1,0,0,0,0.8125,0.25,0
83,10555.5,15028,1,0,0,0,0.875,0.25,0
84,5390.03,4624,1,0,0,0,0.9375,0.25,0
85,0,0,1,0,0,0,1,0.25,0
86,0,0,1,0,0,0,0,0.3125,0
87,7160.49,6647,1,0,0,0,0.0625,0.3125,0
88,14013.7,15606,1,0,0,0,0.125,0.3125,0
89,20275.5,21964,1,0,0,0,0.1875,0.3125,0
90,25702.9,26010,1,0,0,0,0.25,0.3125,0
91,30103.7,36414,1,0,0,0,0.3125,0.3125,0
92,33338,30345,1,0,0,0,0.375,0.3125,0
93,35312.9,33235,1,0,0,0,0.4375,0.3125,0
94,35976.8,34391,1,0,0,0,0.5,0.3125,0
95,35312.9,41616,1,0,0,0,0.5625,0.3125,0
96,33338,32946,1,0,0,0,0.625,0.3125,0
97,30103.7,30345,1,0,0,0,0.6875,0.3125,0
98,25702.9,23987,1,0,0,0,0.75,0.3125,0
99,20275.5,21964,1,0,0,0,0.8125,0.3125,0
100,14013.7,11849,1,0,0,0,0.875,0.3125,0
101,7160.49,6069,1,0,0,0,0.9375,0.3125,0
102,0,0,1,0,0,0,1,0.3125,0
103,0,0,1,0,0,0,0,0.375,0
104,9250.91,9826,1,0,0,0,0.0625,0.375,0
105,18087.1,18207,1,0,0,0,0.125,0.375,0
106,26131.5,23987,1,0,0,0,0.1875,0.375,0
107,33071.4,28900,1,0,0,0,0.25,0.375,0
108,38670.9,38437,1,0,0,0,0.3125,0.375,0
109,42767.5,43061,1,0,0,0,0.375,0.375,0
110,45260.7,43639,1,0,0,0,0.4375,0.375,0
111,46097.2,44506,1,0,0,0,0.5,0.375,0
112,45260.7,45951,1,0,0,0,0.5625,0.375,0
113,42767.5,44795,1,0,0,0,0.625,0.375,0
114,38670.9,40171,1,0,0,0,0.6875,0.375,0
115,33071.4,34680,1,0,0,0,0.75,0.375,0
116,26131.5,24565,1,0,0,0,0.8125,0.375,0
117,18087.1,20808,1,0,0,0,0.875,0.375,0
118,9250.91,8959,1,0,0,0,0.9375,0.375,0
119,0,0,1,0,0,0,1,0.375,0
120,0,0,1,0,0,0,0,0.4375,0
121,11772.6,8381,1,0,0,0,0.0625,0.4375,0
122,22983.2,22831,1,0,0,0,0.125,0.4375,0
123,33132.5,36125,1,0,0,0,0.1875,0.4375,0
124,41826.7,50575,1,0,0,0,0.25,0.4375,0
125,48789.9,48841,1,0,0,0,0.3125,0.4375,0
