"id","C_[0]","Cd_[0]","type","v:0","v:1","v:2","Points:0","Points:1","Points:2"
1,0,0,1,0,0,0,0,0,0
2,0,0,1,0,0,0,0.03125,0,0
3,0,0,1,0,0,0,0.0625,0,0
4,0,0,1,0,0,0,0.09375,0,0
5,0,0,1,0,0,0,0.125,0,0
6,0,0,1,0,0,0,0.15625,0,0
7,0,0,1,0,0,0,0.1875,0,0
8,0,0,1,0,0,0,0.21875,0,0
9,0,0,1,0,0,0,0.25,0,0
10,0,0,1,0,0,0,0.28125,0,0
11,0,0,1,0,0,0,0.3125,0,0
12,0,0,1,0,0,0,0.34375,0,0
13,0,0,1,0,0,0,0.375,0,0
14,0,0,1,0,0,0,0.40625,0,0
15,0,0,1,0,0,0,0.4375,0,0
16,0,0,1,0,0,0,0.46875,0,0
17,0,0,1,0,0,0,0.5,0,0
18,0,0,1,0,0,0,0.53125,0,0
19,0,0,1,0,0,0,0.5625,0,0
20,0,0,1,0,0,0,0.59375,0,0
21,0,0,1,0,0,0,0.625,0,0
22,0,0,1,0,0,0,0.65625,0,0
23,0,0,1,0,0,0,0.6875,0,0
24,0,0,1,0,0,0,0.71875,0,0
25,0,0,1,0,0,0,0.75,0,0
26,0,0,1,0,0,0,0.78125,0,0
27,0,0,1,0,0,0,0.8125,0,0
28,0,0,1,0,0,0,0.84375,0,0
29,0,0,1,0,0,0,0.875,0,0
30,0,0,1,0,0,0,0.90625,0,0
31,0,0,1,0,0,0,0.9375,0,0
32,0,0,1,0,0,0,0.96875,0,0
33,0,0,1,0,0,0,1,0,0
34,0,0,1,0,0,0,0,0.03125,0
35,1158.39,0,1,0,0,0,0.03125,0.03125,0
36,2305.12,2178,1,0,0,0,0.0625,0.03125,0
37,3428.7,1089,1,0,0,0,0.09375,0.03125,0
38,4517.94,10890,1,0,0,0,0.125,0.03125,0
39,5562.09,7623,1,0,0,0,0.15625,0.03125,0
40,6550.98,8712,1,0,0,0,0.1875,0.03125,0
41,7475.11,10890,1,0,0,0,0.21875,0.03125,0
42,8325.75,10890,1,0,0,0,0.25,0.03125,0
43,9095.01,13068,1,0,0,0,0.28125,0.03125,0
44,9775.9,10890,1,0,0,0,0.3125,0.03125,0
45,10362.3,8712,1,0,0,0,0.34375,0.03125,0
46,10849.1,11979,1,0,0,0,0.375,0.03125,0
47,11232.1,7623,1,0,0,0,0.40625,0.03125,0
48,11507.9,10890,1,0,0,0,0.4375,0.03125,0
49,11674.4,9801,1,0,0,0,0.46875,0.03125,0
50,11730,9801,1,0,0,0,0.5,0.03125,0
51,11674.4,16335,1,0,0,0,0.53125,0.03125,0
52,11507.9,16335,1,0,0,0,0.5625,0.03125,0
53,11232.1,8712,1,0,0,0,0.59375,0.03125,0
54,10849.1,17424,1,0,0,0,0.625,0.03125,0
55,10362.3,8712,1,0,0,0,0.65625,0.03125,0
56,9775.9,7623,1,0,0,0,0.6875,0.03125,0
57,9095.01,10890,1,0,0,0,0.71875,0.03125,0
58,8325.75,10890,1,0,0,0,0.75,0.03125,0
59,7475.11,7623,1,0,0,0,0.78125,0.03125,0
60,6550.98,8712,1,0,0,0,0.8125,0.03125,0
61,5562.09,5445,1,0,0,0,0.84375,0.03125,0
62,4517.94,3267,1,0,0,0,0.875,0.03125,0
63,3428.7,2178,1,0,0,0,0.90625,0.03125,0
64,2305.12,0,1,0,0,0,0.9375,0.03125,0
65,1158.39,3267,1,0,0,0,0.96875,0.03125,0
66,0,0,1,0,0,0,1,0.03125,0
67,0,0,1,0,0,0,0,0.0625,0
68,2328.58,8712,1,0,0,0,0.03125,0.0625,0
69,4633.69,0,1,0,0,0,0.0625,0.0625,0
70,6892.19,5445,1,0,0,0,0.09375,0.0625,0
71,9081.549999999999,8712,1,0,0,0,0.125,0.0625,0
72,11180.2,11979,1,0,0,0,0.15625,0.0625,0
73,13167.5,10890,1,0,0,0,0.1875,0.0625,0
74,15024.6,15246,1,0,0,0,0.21875,0.0625,0
75,16733.9,15246,1,0,0,0,0.25,0.0625,0
76,18279.5,14157,1,0,0,0,0.28125,0.0625,0
77,19647.5,21780,1,0,0,0,0.3125,0.0625,0
78,20825.5,20691,1,0,0,0,0.34375,0.0625,0
79,21803.3,15246,1,0,0,0,0.375,0.0625,0
80,22572.6,23958,1,0,0,0,0.40625,0.0625,0
81,23126.7,20691,1,0,0,0,0.4375,0.0625,0
82,23461,26136,1,0,0,0,0.46875,0.0625,0
83,23572.7,22869,1,0,0,0,0.5,0.0625,0
84,23461,32670,1,0,0,0,0.53125,0.0625,0
85,23126.7,26136,1,0,0,0,0.5625,0.0625,0
86,22572.6,17424,1,0,0,0,0.59375,0.0625,0
87,21803.3,25047,1,0,0,0,0.625,0.0625,0
88,20825.5,16335,1,0,0,0,0.65625,0.0625,0
89,19647.5,21780,1,0,0,0,0.6875,0.0625,0
90,18279.5,19602,1,0,0,0,0.71875,0.0625,0
91,16733.9,17424,1,0,0,0,0.75,0.0625,0
92,15024.6,7623,1,0,0,0,0.78125,0.0625,0
93,13167.5,14157,1,0,0,0,0.8125,0.0625,0
94,11180.2,14157,1,0,0,0,0.84375,0.0625,0
95,9081.549999999999,10890,1,0,0,0,0.875,0.0625,0
96,6892.19,7623,1,0,0,0,0.90625,0.0625,0
97,4633.69,2178,1,0,0,0,0.9375,0.0625,0
98,2328.58,2178,1,0,0,0,0.96875,0.0625,0
99,0,0,1,0,0,0,1,0.0625,0
100,0,0,1,0,0,0,0,0.09375,0
101,3522.54,3267,1,0,0,0,0.03125,0.09375,0
102,7009.48,8712,1,0,0,0,0.0625,0.09375,0
103,10425.7,11979,1,0,0,0,0.09375,0.09375,0
104,13737.1,14157,1,0,0,0,0.125,0.09375,0
105,16910.9,9801,1,0,0,0,0.15625,0.09375,0
106,19916.1,19602,1,0,0,0,0.1875,0.09375,0
107,22723.9,19602,1,0,0,0,0.21875,0.09375,0
108,25307.8,18513,1,0,0,0,0.25,0.09375,0
