"id","C_[0]","Cd_[0]","type","v:0","v:1","v:2","Points:0","Points:1","Points:2"
1,0,0,1,0,0,0,0,0,0
2,0,0,1,0,0,0,0.0625,0,0
3,0,0,1,0,0,0,0.125,0,0
4,0,0,1,0,0,0,0.1875,0,0
5,0,0,1,0,0,0,0.25,0,0
6,0,0,1,0,0,0,0.3125,0,0
7,0,0,1,0,0,0,0.375,0,0
8,0,0,1,0,0,0,0.4375,0,0
9,0,0,1,0,0,0,0.5,0,0
10,0,0,1,0,0,0,0.5625,0,0
11,0,0,1,0,0,0,0.625,0,0
12,0,0,1,0,0,0,0.6875,0,0
13,0,0,1,0,0,0,0.75,0,0
14,0,0,1,0,0,0,0.8125,0,0
15,0,0,1,0,0,0,0.875,0,0
16,0,0,1,0,0,0,0.9375,0,0
17,0,0,1,0,0,0,1,0,0
18,0,0,1,0,0,0,0,0.0625,0
19,1232.1,867,1,0,0,0,0.0625,0.0625,0
20,2414.81,1734,1,0,0,0,0.125,0.0625,0
21,3501.33,4913,1,0,0,0,0.1875,0.0625,0
22,4449.73,4913,1,0,0,0,0.25,0.0625,0
23,5224.56,3179,1,0,0,0,0.3125,0.0625,0
24,5797.92,7225,1,0,0,0,0.375,0.0625,0
25,6149.88,6069,1,0,0,0,0.4375,0.0625,0
26,6268.51,5202,1,0,0,0,0.5,0.0625,0
27,6149.88,4624,1,0,0,0,0.5625,0.0625,0
28,5797.92,4335,1,0,0,0,0.625,0.0625,0
29,5224.56,6069,1,0,0,0,0.6875,0.0625,0
30,4449.73,4624,1,0,0,0,0.75,0.0625,0
31,3501.33,3179,1,0,0,0,0.8125,0.0625,0
32,2414.81,2601,1,0,0,0,0.875,0.0625,0
33,1232.1,2601,1,0,0,0,0.9375,0.0625,0
34,0,0,1,0,0,0,1,0.0625,0
35,0,0,1,0,0,0,0,0.125,0
36,2514.66,2601,1,0,0,0,0.0625,0.125,0
37,4927.85,3179,1,0,0,0,0.125,0.125,0
38,7143.67,8670,1,0,0,0,0.1875,0.125,0
39,9076.5,10693,1,0,0,0,0.25,0.125,0
40,10654.5,10982,1,0,0,0,0.3125,0.125,0
41,11821.4,10404,1,0,0,0,0.375,0.125,0
42,12537.4,14450,1,0,0,0,0.4375,0.125,0
43,12778.6,11849,1,0,0,0,0.5,0.125,0
44,12537.4,14161,1,0,0,0,0.5625,0.125,0
45,11821.4,12716,1,0,0,0,0.625,0.125,0
46,10654.5,13294,1,0,0,0,0.6875,0.125,0
47,9076.5,9826,1,0,0,0,0.75,0.125,0
48,7143.67,4624,1,0,0,0,0.8125,0.125,0
49,4927.85,4046,1,0,0,0,0.875,0.125,0
50,2514.66,2312,1,0,0,0,0.9375,0.125,0
51,0,0,1,0,0,0,1,0.125,0
52,0,0,1,0,0,0,0,0.1875,0
53,3900.89,1734,1,0,0,0,0.0625,0.1875,0
54,7642.47,7225,1,0,0,0,0.125,0.1875,0
55,11074.8,12138,1,0,0,0,0.1875,0.1875,0
56,14065.1,14161,1,0,0,0,0.25,0.1875,0
57,16503.3,16762,1,0,0,0,0.3125,0.1875,0
58,18304.1,15317,1,0,0,0,0.375,0.1875,0
59,19408,17340,1,0,0,0,0.4375,0.1875,0
60,19779.8,21386,1,0,0,0,0.5,0.1875,0
61,19408,19941,1,0,0,0,0.5625,0.1875,0
62,18304.1,18207,1,0,0,0,0.625,0.1875,0
63,16503.3,17918,1,0,0,0,0.6875,0.1875,0
64,14065.1,19074,1,0,0,0,0.75,0.1875,0
65,11074.8,10404,1,0,0,0,0.8125,0.1875,0
66,7642.47,7514,1,0,0,0,0.875,0.1875,0
67,3900.89,2601,1,0,0,0,0.9375,0.1875,0
68,0,0,1,0,0,0,1,0.1875,0
69,0,0,1,0,0,0,0,0.25,0
70,5449.92,4913,1,0,0,0,0.0625,0.25,0
71,10672.9,13872,1,0,0,0,0.125,0.25,0
72,15456.9,14739,1,0,0,0,0.1875,0.25,0
73,19616.7,17629,1,0,0,0,0.25,0.25,0
74,23001.1,21386,1,0,0,0,0.3125,0.25,0
75,25496,23409,1,0,0,0,0.375,0.25,0
76,27023,29189,1,0,0,0,0.4375,0.25,0
77,27537,24854,1,0,0,0,0.5,0.25,0
78,27023,23409,1,0,0,0,0.5625,0.25,0
79,25496,25432,1,0,0,0,0.625,0.25,0
80,23001.1,25143,1,0,0,0,0.6875,0.25,0
81,19616.7,24565,1,0,0,0,0.75,0.25,0
82,15456.9,14739,1,0,0,0,0.8125,0.25,0
83,10672.9,9826,1,0,0,0,0.875,0.25,0
84,5449.92,3757,1,0,0,0,0.9375,0.25,0
85,0,0,1,0,0,0,1,0.25,0
86,0,0,1,0,0,0,0,0.3125,0
87,7230.92,6936,1,0,0,0,0.0625,0.3125,0
88,14151.8,15028,1,0,0,0,0.125,0.3125,0
89,20476,17340,1,0,0,0,0.1875,0.3125,0
90,25958.1,26010,1,0,0,0,0.25,0.3125,0
91,30403.9,33235,1,0,0,0,0.3125,0.3125,0
92,33671.5,32368,1,0,0,0,0.375,0.3125,0
93,35667,35547,1,0,0,0,0.4375,0.3125,0
94,36337.8,39593,1,0,0,0,0.5,0.3125,0
95,35667,32946,1,0,0,0,0.5625,0.3125,0
96,33671.5,30345,1,0,0,0,0.625,0.3125,0
97,30403.9,35547,1,0,0,0,0.6875,0.3125,0
98,25958.1,23409,1,0,0,0,0.75,0.3125,0
99,20476,26588,1,0,0,0,0.8125,0.3125,0
100,14151.8,11560,1,0,0,0,0.875,0.3125,0
101,7230.92,8670,1,0,0,0,0.9375,0.3125,0
102,0,0,1,0,0,0,1,0.3125,0
103,0,0,1,0,0,0,0,0.375,0
104,9329.18,8670,1,0,0,0,0.0625,0.375,0
105,18240.7,17051,1,0,0,0,0.125,0.375,0
106,26354.4,30634,1,0,0,0,0.1875,0.375,0
107,33355.1,34680,1,0,0,0,0.25,0.375,0
108,39004.5,34102,1,0,0,0,0.3125,0.375,0
109,43138.2,46529,1,0,0,0,0.375,0.375,0
110,45654.2,41327,1,0,0,0,0.4375,0.375,0
111,46498.4,42483,1,0,0,0,0.5,0.375,0
112,45654.2,42194,1,0,0,0,0.5625,0.375,0
113,43138.2,46529,1,0,0,0,0.625,0.375,0
114,39004.5,38437,1,0,0,0,0.6875,0.375,0
115,33355.1,34680,1,0,0,0,0.75,0.375,0
116,26354.4,27166,1,0,0,0,0.8125,0.375,0
117,18240.7,17918,1,0,0,0,0.875,0.375,0
118,9329.18,11849,1,0,0,0,0.9375,0.375,0
119,0,0,1,0,0,0,1,0.375,0
120,0,0,1,0,0,0,0,0.4375,0
121,11855.7,7514,1,0,0,0,0.0625,0.4375,0
122,23146.2,23698,1,0,0,0,0.125,0.4375,0
123,33369.1,33813,1,0,0,0,0.1875,0.4375,0
124,42127.9,40460,1,0,0,0,0.25,0.4375,0
125,49144.1,51442,1,0,0,0,0.3125,0.4375,0
