"id","C_[0]","Cd_[0]","type","v:0","v:1","v:2","Points:0","Points:1","Points:2"
1,0,0,1,0,0,0,0,0,0
2,0,0,1,0,0,0,0.0625,0,0
3,0,0,1,0,0,0,0.125,0,0
4,0,0,1,0,0,0,0.1875,0,0
5,0,0,1,0,0,0,0.25,0,0
6,0,0,1,0,0,0,0.3125,0,0
7,0,0,1,0,0,0,0.375,0,0
8,0,0,1,0,0,0,0.4375,0,0
9,0,0,1,0,0,0,0.5,0,0
10,0,0,1,0,0,0,0.5625,0,0
11,0,0,1,0,0,0,0.625,0,0
12,0,0,1,0,0,0,0.6875,0,0
13,0,0,1,0,0,0,0.75,0,0
14,0,0,1,0,0,0,0.8125,0,0
15,0,0,1,0,0,0,0.875,0,0
16,0,0,1,0,0,0,0.9375,0,0
17,0,0,1,0,0,0,1,0,0
18,0,0,1,0,0,0,0,0.0625,0
19,1238.98,578,1,0,0,0,0.0625,0.0625,0
20,2428.3,5491,1,0,0,0,0.125,0.0625,0
21,3520.93,1445,1,0,0,0,0.1875,0.0625,0
22,4474.67,3757,1,0,0,0,0.25,0.0625,0
23,5253.89,6069,1,0,0,0,0.3125,0.0625,0
24,5830.51,7803,1,0,0,0,0.375,0.0625,0
25,6184.47,5202,1,0,0,0,0.4375,0.0625,0
26,6303.78,7514,1,0,0,0,0.5,0.0625,0
27,6184.47,8670,1,0,0,0,0.5625,0.0625,0
28,5830.51,4624,1,0,0,0,0.625,0.0625,0
29,5253.89,6069,1,0,0,0,0.6875,0.0625,0
30,4474.67,4335,1,0,0,0,0.75,0.0625,0
31,3520.93,5780,1,0,0,0,0.8125,0.0625,0
32,2428.3,3179,1,0,0,0,0.875,0.0625,0
33,1238.98,1445,1,0,0,0,0.9375,0.0625,0
34,0,0,1,0,0,0,1,0.0625,0
35,0,0,1,0,0,0,0,0.125,0
36,2528.16,3179,1,0,0,0,0.0625,0.125,0
37,4954.33,2601,1,0,0,0,0.125,0.125,0
38,7182.1,8092,1,0,0,0,0.1875,0.125,0
39,9125.42,10982,1,0,0,0,0.25,0.125,0
40,10712,8959,1,0,0,0,0.3125,0.125,0
41,11885.3,13583,1,0,0,0,0.375,0.125,0
42,12605.2,12716,1,0,0,0,0.4375,0.125,0
43,12847.8,12427,1,0,0,0,0.5,0.125,0
44,12605.2,10693,1,0,0,0,0.5625,0.125,0
45,11885.3,9248,1,0,0,0,0.625,0.125,0
46,10712,10115,1,0,0,0,0.6875,0.125,0
47,9125.42,9248,1,0,0,0,0.75,0.125,0
48,7182.1,8959,1,0,0,0,0.8125,0.125,0
49,4954.33,6936,1,0,0,0,0.875,0.125,0
50,2528.16,2890,1,0,0,0,0.9375,0.125,0
51,0,0,1,0,0,0,1,0.125,0
52,0,0,1,0,0,0,0,0.1875,0
53,3920.49,3179,1,0,0,0,0.0625,0.1875,0
54,7680.91,5202,1,0,0,0,0.125,0.1875,0
55,11130.6,8959,1,0,0,0,0.1875,0.1875,0
56,14136.2,15028,1,0,0,0,0.25,0.1875,0
57,16586.8,17918,1,0,0,0,0.3125,0.1875,0
58,18396.9,16762,1,0,0,0,0.375,0.1875,0
59,19506.5,18207,1,0,0,0,0.4375,0.1875,0
60,19880.2,18496,1,0,0,0,0.5,0.1875,0
61,19506.5,20808,1,0,0,0,0.5625,0.1875,0
62,18396.9,17051,1,0,0,0,0.625,0.1875,0
63,16586.8,15895,1,0,0,0,0.6875,0.1875,0
64,14136.2,13294,1,0,0,0,0.75,0.1875,0
65,11130.6,10982,1,0,0,0,0.8125,0.1875,0
66,7680.91,10115,1,0,0,0,0.875,0.1875,0
67,3920.49,2890,1,0,0,0,0.9375,0.1875,0
68,0,0,1,0,0,0,1,0.1875,0
69,0,0,1,0,0,0,0,0.25,0
70,5474.86,5491,1,0,0,0,0.0625,0.25,0
71,10721.9,9826,1,0,0,0,0.125,0.25,0
72,15528,15895,1,0,0,0,0.1875,0.25,0
73,19707.1,21675,1,0,0,0,0.25,0.25,0
74,23107.4,23120,1,0,0,0,0.3125,0.25,0
75,25614.1,28033,1,0,0,0,0.375,0.25,0
76,27148.4,28900,1,0,0,0,0.4375,0.25,0
77,27664.8,29767,1,0,0,0,0.5,0.25,0
78,27148.4,27744,1,0,0,0,0.5625,0.25,0
79,25614.1,24276,1,0,0,0,0.625,0.25,0
80,23107.4,21675,1,0,0,0,0.6875,0.25,0
81,19707.1,24565,1,0,0,0,0.75,0.25,0
82,15528,12427,1,0,0,0,0.8125,0.25,0
83,10721.9,8959,1,0,0,0,0.875,0.25,0
84,5474.86,3757,1,0,0,0,0.9375,0.25,0
85,0,0,1,0,0,0,1,0.25,0
86,0,0,1,0,0,0,0,0.3125,0
87,7260.25,7803,1,0,0,0,0.0625,0.3125,0
88,14209.4,10115,1,0,0,0,0.125,0.3125,0
89,20559.5,16184,1,0,0,0,0.1875,0.3125,0
90,26064.4,21097,1,0,0,0,0.25,0.3125,0
91,30528.9,30056,1,0,0,0,0.3125,0.3125,0
92,33810.4,32657,1,0,0,0,0.375,0.3125,0
93,35814.4,38148,1,0,0,0,0.4375,0.3125,0
94,36488.1,39304,1,0,0,0,0.5,0.3125,0
95,35814.4,39304,1,0,0,0,0.5625,0.3125,0
96,33810.4,28033,1,0,0,0,0.625,0.3125,0
97,30528.9,33235,1,0,0,0,0.6875,0.3125,0
98,26064.4,28900,1,0,0,0,0.75,0.3125,0
99,20559.5,20808,1,0,0,0,0.8125,0.3125,0
100,14209.4,12427,1,0,0,0,0.875,0.3125,0
101,7260.25,10115,1,0,0,0,0.9375,0.3125,0
102,0,0,1,0,0,0,1,0.3125,0
103,0,0,1,0,0,0,0,0.375,0
104,9361.76,8959,1,0,0,0,0.0625,0.375,0
105,18304.6,17051,1,0,0,0,0.125,0.375,0
106,26447.2,27455,1,0,0,0,0.1875,0.375,0
107,33473.2,31212,1,0,0,0,0.25,0.375,0
108,39143.3,35547,1,0,0,0,0.3125,0.375,0
109,43292.5,35836,1,0,0,0,0.375,0.375,0
110,45818,39015,1,0,0,0,0.4375,0.375,0
111,46665.5,42483,1,0,0,0,0.5,0.375,0
112,45818,39882,1,0,0,0,0.5625,0.375,0
113,43292.5,44506,1,0,0,0,0.625,0.375,0
114,39143.3,38437,1,0,0,0,0.6875,0.375,0
115,33473.2,32368,1,0,0,0,0.75,0.375,0
116,26447.2,30923,1,0,0,0,0.8125,0.375,0
117,18304.6,15895,1,0,0,0,0.875,0.375,0
118,9361.76,6647,1,0,0,0,0.9375,0.375,0
119,0,0,1,0,0,0,1,0.375,0
120,0,0,1,0,0,0,0,0.4375,0
121,11890.3,10404,1,0,0,0,0.0625,0.4375,0
122,23214.1,21386,1,0,0,0,0.125,0.4375,0
123,33467.7,29189,1,0,0,0,0.1875,0.4375,0
124,42253.3,39882,1,0,0,0,0.25,0.4375,0
125,49291.5,55777,1,0,0,0,0.3125,0.4375,0
