"id","C_[0]","Cd_[0]","type","v:0","v:1","v:2","Points:0","Points:1","Points:2"
1,0,0,1,0,0,0,0,0,0
2,0,0,1,0,0,0,0.0625,0,0
3,0,0,1,0,0,0,0.125,0,0
4,0,0,1,0,0,0,0.1875,0,0
5,0,0,1,0,0,0,0.25,0,0
6,0,0,1,0,0,0,0.3125,0,0
7,0,0,1,0,0,0,0.375,0,0
8,0,0,1,0,0,0,0.4375,0,0
9,0,0,1,0,0,0,0.5,0,0
10,0,0,1,0,0,0,0.5625,0,0
11,0,0,1,0,0,0,0.625,0,0
12,0,0,1,0,0,0,0.6875,0,0
13,0,0,1,0,0,0,0.75,0,0
14,0,0,1,0,0,0,0.8125,0,0
15,0,0,1,0,0,0,0.875,0,0
16,0,0,1,0,0,0,0.9375,0,0
17,0,0,1,0,0,0,1,0,0
18,0,0,1,0,0,0,0,0.0625,0
19,1238.91,1156,1,0,0,0,0.0625,0.0625,0
20,2428.17,2890,1,0,0,0,0.125,0.0625,0
21,3520.73,2601,1,0,0,0,0.1875,0.0625,0
22,4474.42,3179,1,0,0,0,0.25,0.0625,0
23,5253.59,5780,1,0,0,0,0.3125,0.0625,0
24,5830.18,4046,1,0,0,0,0.375,0.0625,0
25,6184.12,3468,1,0,0,0,0.4375,0.0625,0
26,6303.43,8092,1,0,0,0,0.5,0.0625,0
27,6184.12,6936,1,0,0,0,0.5625,0.0625,0
28,5830.18,4335,1,0,0,0,0.625,0.0625,0
29,5253.59,4913,1,0,0,0,0.6875,0.0625,0
30,4474.42,6647,1,0,0,0,0.75,0.0625,0
31,3520.73,2312,1,0,0,0,0.8125,0.0625,0
32,2428.17,2023,1,0,0,0,0.875,0.0625,0
33,1238.91,867,1,0,0,0,0.9375,0.0625,0
34,0,0,1,0,0,0,1,0.0625,0
35,0,0,1,0,0,0,0,0.125,0
36,2528.02,1734,1,0,0,0,0.0625,0.125,0
37,4954.06,5202,1,0,0,0,0.125,0.125,0
38,7181.72,8959,1,0,0,0,0.1875,0.125,0
39,9124.93,10693,1,0,0,0,0.25,0.125,0
40,10711.4,10404,1,0,0,0,0.3125,0.125,0
41,11884.7,13294,1,0,0,0,0.375,0.125,0
42,12604.5,13294,1,0,0,0,0.4375,0.125,0
43,12847.1,12427,1,0,0,0,0.5,0.125,0
44,12604.5,10404,1,0,0,0,0.5625,0.125,0
45,11884.7,8381,1,0,0,0,0.625,0.125,0
46,10711.4,10982,1,0,0,0,0.6875,0.125,0
47,9124.93,6936,1,0,0,0,0.75,0.125,0
48,7181.72,5780,1,0,0,0,0.8125,0.125,0
49,4954.06,4624,1,0,0,0,0.875,0.125,0
50,2528.02,2312,1,0,0,0,0.9375,0.125,0
51,0,0,1,0,0,0,1,0.125,0
52,0,0,1,0,0,0,0,0.1875,0
53,3920.29,3757,1,0,0,0,0.0625,0.1875,0
54,7680.52,5491,1,0,0,0,0.125,0.1875,0
55,11130,15606,1,0,0,0,0.1875,0.1875,0
56,14135.4,15895,1,0,0,0,0.25,0.1875,0
57,16586,15895,1,0,0,0,0.3125,0.1875,0
58,18396,17340,1,0,0,0,0.375,0.1875,0
59,19505.5,22831,1,0,0,0,0.4375,0.1875,0
60,19879.2,16473,1,0,0,0,0.5,0.1875,0
61,19505.5,17629,1,0,0,0,0.5625,0.1875,0
62,18396,17340,1,0,0,0,0.625,0.1875,0
63,16586,14739,1,0,0,0,0.6875,0.1875,0
64,14135.4,14450,1,0,0,0,0.75,0.1875,0
65,11130,13294,1,0,0,0,0.8125,0.1875,0
66,7680.52,6936,1,0,0,0,0.875,0.1875,0
67,3920.29,4335,1,0,0,0,0.9375,0.1875,0
68,0,0,1,0,0,0,1,0.1875,0
69,0,0,1,0,0,0,0,0.25,0
70,5474.61,6936,1,0,0,0,0.0625,0.25,0
71,10721.4,8959,1,0,0,0,0.125,0.25,0
72,15527.2,18496,1,0,0,0,0.1875,0.25,0
73,19706.1,19652,1,0,0,0,0.25,0.25,0
74,23106.3,23120,1,0,0,0,0.3125,0.25,0
75,25612.9,27166,1,0,0,0,0.375,0.25,0
76,27147.1,23987,1,0,0,0,0.4375,0.25,0
77,27663.5,27166,1,0,0,0,0.5,0.25,0
78,27147.1,20808,1,0,0,0,0.5625,0.25,0
79,25612.9,28033,1,0,0,0,0.625,0.25,0
80,23106.3,19941,1,0,0,0,0.6875,0.25,0
81,19706.1,17918,1,0,0,0,0.75,0.25,0
82,15527.2,17629,1,0,0,0,0.8125,0.25,0
83,10721.4,11271,1,0,0,0,0.875,0.25,0
84,5474.61,8092,1,0,0,0,0.9375,0.25,0
85,0,0,1,0,0,0,1,0.25,0
86,0,0,1,0,0,0,0,0.3125,0
87,7259.95,7225,1,0,0,0,0.0625,0.3125,0
88,14208.8,13294,1,0,0,0,0.125,0.3125,0
89,20558.7,16184,1,0,0,0,0.1875,0.3125,0
90,26063.4,29478,1,0,0,0,0.25,0.3125,0
91,30527.6,27166,1,0,0,0,0.3125,0.3125,0
92,33809,32946,1,0,0,0,0.375,0.3125,0
93,35812.9,38437,1,0,0,0,0.4375,0.3125,0
94,36486.6,32946,1,0,0,0,0.5,0.3125,0
95,35812.9,35258,1,0,0,0,0.5625,0.3125,0
96,33809,33235,1,0,0,0,0.625,0.3125,0
97,30527.6,32079,1,0,0,0,0.6875,0.3125,0
98,26063.4,27166,1,0,0,0,0.75,0.3125,0
99,20558.7,21097,1,0,0,0,0.8125,0.3125,0
100,14208.8,15895,1,0,0,0,0.875,0.3125,0
101,7259.95,7803,1,0,0,0,0.9375,0.3125,0
102,0,0,1,0,0,0,1,0.3125,0
103,0,0,1,0,0,0,0,0.375,0
104,9361.440000000001,9826,1,0,0,0,0.0625,0.375,0
105,18304,21097,1,0,0,0,0.125,0.375,0
106,26446.2,30056,1,0,0,0,0.1875,0.375,0
107,33472,30345,1,0,0,0,0.25,0.375,0
108,39141.9,46818,1,0,0,0,0.3125,0.375,0
109,43291,41905,1,0,0,0,0.375,0.375,0
110,45816.4,46240,1,0,0,0,0.4375,0.375,0
111,46663.8,47396,1,0,0,0,0.5,0.375,0
112,45816.4,41905,1,0,0,0,0.5625,0.375,0
113,43291,49130,1,0,0,0,0.625,0.375,0
114,39141.9,40749,1,0,0,0,0.6875,0.375,0
115,33472,32368,1,0,0,0,0.75,0.375,0
116,26446.2,24854,1,0,0,0,0.8125,0.375,0
117,18304,18207,1,0,0,0,0.875,0.375,0
118,9361.440000000001,8381,1,0,0,0,0.9375,0.375,0
119,0,0,1,0,0,0,1,0.375,0
120,0,0,1,0,0,0,0,0.4375,0
121,11890,15895,1,0,0,0,0.0625,0.4375,0
122,23213.4,22831,1,0,0,0,0.125,0.4375,0
123,33466.7,36125,1,0,0,0,0.1875,0.4375,0
124,42252.1,42194,1,0,0,0,0.25,0.4375,0
125,49290,41905,1,0,0,0,0.3125,0.4375,0
