"id","C_[0]","Cd_[0]","type","v:0","v:1","v:2","Points:0","Points:1","Points:2"
1,0,0,1,0,0,0,0,0,0
2,0,0,1,0,0,0,0.0625,0,0
3,0,0,1,0,0,0,0.125,0,0
4,0,0,1,0,0,0,0.1875,0,0
5,0,0,1,0,0,0,0.25,0,0
6,0,0,1,0,0,0,0.3125,0,0
7,0,0,1,0,0,0,0.375,0,0
8,0,0,1,0,0,0,0.4375,0,0
9,0,0,1,0,0,0,0.5,0,0
10,0,0,1,0,0,0,0.5625,0,0
11,0,0,1,0,0,0,0.625,0,0
12,0,0,1,0,0,0,0.6875,0,0
13,0,0,1,0,0,0,0.75,0,0
14,0,0,1,0,0,0,0.8125,0,0
15,0,0,1,0,0,0,0.875,0,0
16,0,0,1,0,0,0,0.9375,0,0
17,0,0,1,0,0,0,1,0,0
18,0,0,1,0,0,0,0,0.0625,0
19,1182.97,1156,1,0,0,0,0.0625,0.0625,0
20,2318.45,3179,1,0,0,0,0.125,0.0625,0
21,3361.44,5202,1,0,0,0,0.1875,0.0625,0
22,4271.68,3468,1,0,0,0,0.25,0.0625,0
23,5015.2,5202,1,0,0,0,0.3125,0.0625,0
24,5565.29,4624,1,0,0,0,0.375,0.0625,0
25,5902.92,4913,1,0,0,0,0.4375,0.0625,0
26,6016.71,6647,1,0,0,0,0.5,0.0625,0
27,5902.92,5780,1,0,0,0,0.5625,0.0625,0
28,5565.29,6358,1,0,0,0,0.625,0.0625,0
29,5015.2,5491,1,0,0,0,0.6875,0.0625,0
30,4271.68,3179,1,0,0,0,0.75,0.0625,0
31,3361.44,2890,1,0,0,0,0.8125,0.0625,0
32,2318.45,2023,1,0,0,0,0.875,0.0625,0
33,1182.97,1156,1,0,0,0,0.9375,0.0625,0
34,0,0,1,0,0,0,1,0.0625,0
35,0,0,1,0,0,0,0,0.125,0
36,2418.28,867,1,0,0,0,0.0625,0.125,0
37,4738.8,4913,1,0,0,0,0.125,0.125,0
38,6869.21,9826,1,0,0,0,0.1875,0.125,0
39,8727.190000000001,11560,1,0,0,0,0.25,0.125,0
40,10243.7,8092,1,0,0,0,0.3125,0.125,0
41,11365,10404,1,0,0,0,0.375,0.125,0
42,12052.9,11271,1,0,0,0,0.4375,0.125,0
43,12284.6,15317,1,0,0,0,0.5,0.125,0
44,12052.9,12138,1,0,0,0,0.5625,0.125,0
45,11365,10982,1,0,0,0,0.625,0.125,0
46,10243.7,9248,1,0,0,0,0.6875,0.125,0
47,8727.190000000001,11271,1,0,0,0,0.75,0.125,0
48,6869.21,7514,1,0,0,0,0.8125,0.125,0
49,4738.8,6936,1,0,0,0,0.875,0.125,0
50,2418.28,3757,1,0,0,0,0.9375,0.125,0
51,0,0,1,0,0,0,1,0.125,0
52,0,0,1,0,0,0,0,0.1875,0
53,3760.94,4913,1,0,0,0,0.0625,0.1875,0
54,7367.95,7514,1,0,0,0,0.125,0.1875,0
55,10676.3,9826,1,0,0,0,0.1875,0.1875,0
56,13557.9,16762,1,0,0,0,0.25,0.1875,0
57,15906.8,17051,1,0,0,0,0.3125,0.1875,0
58,17641.4,20230,1,0,0,0,0.375,0.1875,0
59,18704.4,21097,1,0,0,0,0.4375,0.1875,0
60,19062.4,20230,1,0,0,0,0.5,0.1875,0
61,18704.4,13583,1,0,0,0,0.5625,0.1875,0
62,17641.4,18496,1,0,0,0,0.625,0.1875,0
63,15906.8,14739,1,0,0,0,0.6875,0.1875,0
64,13557.9,13005,1,0,0,0,0.75,0.1875,0
65,10676.3,11271,1,0,0,0,0.8125,0.1875,0
66,7367.95,8092,1,0,0,0,0.875,0.1875,0
67,3760.94,2890,1,0,0,0,0.9375,0.1875,0
68,0,0,1,0,0,0,1,0.1875,0
69,0,0,1,0,0,0,0,0.25,0
70,5271.73,6647,1,0,0,0,0.0625,0.25,0
71,10323.4,9537,1,0,0,0,0.125,0.25,0
72,14949.5,18207,1,0,0,0,0.1875,0.25,0
73,18970.8,16184,1,0,0,0,0.25,0.25,0
74,22241.6,21097,1,0,0,0,0.3125,0.25,0
75,24652.1,27455,1,0,0,0,0.375,0.25,0
76,26127.2,26010,1,0,0,0,0.4375,0.25,0
77,26623.6,24854,1,0,0,0,0.5,0.25,0
78,26127.2,29478,1,0,0,0,0.5625,0.25,0
79,24652.1,25432,1,0,0,0,0.625,0.25,0
80,22241.6,23698,1,0,0,0,0.6875,0.25,0
81,18970.8,14739,1,0,0,0,0.75,0.25,0
82,14949.5,12138,1,0,0,0,0.8125,0.25,0
83,10323.4,8959,1,0,0,0,0.875,0.25,0
84,5271.73,5491,1,0,0,0,0.9375,0.25,0
85,0,0,1,0,0,0,1,0.25,0
86,0,0,1,0,0,0,0,0.3125,0
87,7021.31,6647,1,0,0,0,0.0625,0.3125,0
88,13740.7,13583,1,0,0,0,0.125,0.3125,0
89,19879.1,22831,1,0,0,0,0.1875,0.3125,0
90,25198.4,26588,1,0,0,0,0.25,0.3125,0
91,29510.5,27744,1,0,0,0,0.3125,0.3125,0
92,32678.8,30634,1,0,0,0,0.375,0.3125,0
93,34613.2,30634,1,0,0,0,0.4375,0.3125,0
94,35263.3,39593,1,0,0,0,0.5,0.3125,0
95,34613.2,32946,1,0,0,0,0.5625,0.3125,0
96,32678.8,32946,1,0,0,0,0.625,0.3125,0
97,29510.5,26588,1,0,0,0,0.6875,0.3125,0
98,25198.4,25143,1,0,0,0,0.75,0.3125,0
99,19879.1,18785,1,0,0,0,0.8125,0.3125,0
100,13740.7,12716,1,0,0,0,0.875,0.3125,0
101,7021.31,8092,1,0,0,0,0.9375,0.3125,0
102,0,0,1,0,0,0,1,0.3125,0
103,0,0,1,0,0,0,0,0.375,0
104,9096.15,8670,1,0,0,0,0.0625,0.375,0
105,17783.6,19363,1,0,0,0,0.125,0.375,0
106,25690.8,28611,1,0,0,0,0.1875,0.375,0
107,32510.5,35547,1,0,0,0,0.25,0.375,0
108,38011.3,32368,1,0,0,0,0.3125,0.375,0
109,42034.7,50575,1,0,0,0,0.375,0.375,0
110,44482.7,52020,1,0,0,0,0.4375,0.375,0
111,45304,49708,1,0,0,0,0.5,0.375,0
112,44482.7,51731,1,0,0,0,0.5625,0.375,0
113,42034.7,32946,1,0,0,0,0.625,0.375,0
114,38011.3,36125,1,0,0,0,0.6875,0.375,0
115,32510.5,34391,1,0,0,0,0.75,0.375,0
116,25690.8,27744,1,0,0,0,0.8125,0.375,0
117,17783.6,18496,1,0,0,0,0.875,0.375,0
118,9096.15,10693,1,0,0,0,0.9375,0.375,0
119,0,0,1,0,0,0,1,0.375,0
120,0,0,1,0,0,0,0,0.4375,0
121,11608.2,11271,1,0,0,0,0.0625,0.4375,0
122,22660.7,21386,1,0,0,0,0.125,0.4375,0
123,32664.3,32657,1,0,0,0,0.1875,0.4375,0
124,41230.8,39304,1,0,0,0,0.25,0.4375,0
125,48089.2,42772,1,0,0,0,0.3125,0.4375,0
