C_[0]_average,C_[0]_stddev,Cd_[0]_average,Cd_[0]_stddev,v_average:0,v_average:1,v_average:2,v_stddev:0,v_stddev:1,v_stddev:2,Points:0
0,0,0,0,0,0,0,0,0,0,-0.567901015281677
0,0,0,0,0,0,0,0,0,0,-0.556542992591858
0,0,0,0,0,0,0,0,0,0,-0.545184969902039
0,0,0,0,0,0,0,0,0,0,-0.533826947212219
0,0,0,0,0,0,0,0,0,0,-0.5224689245224
7.89958386419232E-09,8.29814181478444E-09,0.054637555032969,0.058349214494228,-9.78727914737755E-10,1.309211770976E-08,0,6.88073508915371E-09,1.95400168133683E-08,0,-0.511110901832581
0.007526589304576,0.007906300854735,52057.71875,55593.95703125,-0.000932502385353,0.01247395646851,0,0.006555832109002,0.018617323757057,0,-0.499752879142761
0.027670012809603,0.00707726068279,180158.21875,58098.109375,0.006849730243131,0.053106000630505,0,0.011880838438593,0.011030896332995,0,-0.488394886255264
0.045593130610734,0.009221071722822,283843.4375,64611.7265625,0.007122337267093,0.075393655996188,0,0.00854345756165,0.014652308408902,0,-0.477036863565445
0.064401907492814,0.006357369954445,430659.25,78642.671875,0.010599920100783,0.099119972732395,0,0.0075694451023,0.010170451418526,0,-0.465678840875626
0.080569617745017,0.006519111136422,526170.25,74880.6171875,0.014969361149627,0.116446335169767,0,0.006885589099964,0.010146231639254,0,-0.454320818185806
0.097295237356588,0.00579485083378,648892.9375,82681.5546875,0.021084044369763,0.132910158750494,0,0.006958497642703,0.006770786469426,0,-0.442962795495987
0.113238195048002,0.004829307368703,750535,72743.46875,0.027694497666849,0.143052474345339,0,0.007624877039964,0.005742541436038,0,-0.431604772806168
0.12781785397844,0.00555892596895,846260.875,80963.453125,0.034293407300953,0.149724787309394,0,0.005538831797252,0.005908487864669,0,-0.420246750116348
0.142294610425754,0.005305375463185,951344.5,89535.4765625,0.041378046373022,0.153765983824632,0,0.005100545869697,0.005160817196534,0,-0.408888727426529
0.154580318326786,0.0056516449404,1018675.75,88144.4296875,0.048081573782221,0.154458571822189,0,0.004890837039711,0.004945504393386,0,-0.39753070473671
0.167636023609037,0.004715839106652,1087512.25,98495.0390625,0.054351661188243,0.150745961798504,0,0.004516492853338,0.004292013840205,0,-0.38617268204689
0.177457270707234,0.003850637928269,1155596.25,89096.546875,0.059539131389551,0.143376056499141,0,0.004924620717268,0.004898039712967,0,-0.374814659357071
0.186362746891236,0.003679211632604,1236156.5,106910.265625,0.065001778728539,0.133769248387037,0,0.00424124244229,0.004736965567483,0,-0.363456636667252
0.194319580142498,0.003402657556722,1283159,91680.671875,0.067876311133695,0.121722638123231,0,0.003819903161811,0.005141990177824,0,-0.352098643779755
0.201108566645043,0.003377721420593,1332420.375,81483.109375,0.071296676737989,0.106672928910333,0,0.003816433772927,0.0060248037452,0,-0.340740621089935
0.205444471769204,0.003157645404149,1356621,106533.3046875,0.073603170194506,0.092658823242327,0,0.003154979547766,0.006242774765045,0,-0.329382598400116
0.210122521644227,0.003330204791279,1400396.625,93010.84375,0.075207435055311,0.075443235431442,0,0.003051315186588,0.006583544473182,0,-0.318024575710297
0.212774244788383,0.002761253735726,1397385,97767.28125,0.07653379452513,0.057317999412689,0,0.003106468481113,0.006754259225947,0,-0.306666553020477
0.215920917372263,0.003377021603004,1399966.25,98434.140625,0.076609750803728,0.038603592452968,0,0.003160840909567,0.007654011904982,0,-0.295308530330658
0.217666868852459,0.002382183861505,1447291.5,93184.0625,0.076282054098361,0.018480651475408,0,0.003877437849522,0.007907939540882,0,-0.283950507640839
0.219099606957876,0.002464367280667,1436212.875,94897.4140625,0.075719256954709,-0.001319401169572,0,0.0030935411684,0.008078560440236,0,-0.272592484951019
0.221007542140904,0.002483032097402,1443957.125,109014.4140625,0.073707271386071,-0.019511547769618,0,0.004770147546506,0.007577369175329,0,-0.2612344622612
0.223764166881923,0.002868737034862,1429544.875,94168.59375,0.071932535806962,-0.039189836041576,0,0.004850120275702,0.008225626828643,0,-0.249876439571381
0.228444686313968,0.003596171772249,1505264.875,115441.5390625,0.06891864896445,-0.057374270099969,0,0.004322060915739,0.008528584657204,0,-0.238518431782722
0.235134604802009,0.004125578275692,1540651,97202.703125,0.065890068007784,-0.076881126029138,0,0.005326260882009,0.008457261748945,0,-0.227160409092903
0.246560310875813,0.005039009263171,1630569.25,117033.375,0.062168037900242,-0.098407930017859,0,0.005021623366343,0.010075045893088,0,-0.215802386403084
0.260594708507661,0.007069822293653,1707149.875,116986.3359375,0.056445269646042,-0.116911682130646,0,0.00611503520009,0.009297610657648,0,-0.204444363713264
0.283395536145799,0.010180551855115,1862678.125,142212.796875,0.051073112857722,-0.138775566017371,0,0.006330377229865,0.011059919639972,0,-0.193086341023445
0.314852612902018,0.012712788760014,2070586.75,120846.7734375,0.045910742304572,-0.162296488118103,0,0.007160466671012,0.010349664496489,0,-0.181728318333626
0.354242356378203,0.0172595115702,2291401.5,155632.25,0.03683957689152,-0.18431133270933,0,0.007113221504848,0.010384470695075,0,-0.170370310544968
0.405860836206009,0.022332549212339,2645158.25,191720.28125,0.03268307507924,-0.206136107882176,0,0.00756174686214,0.013129952899326,0,-0.159012287855148
0.475719222176146,0.027216444244083,3105827,240948.984375,0.021017615240753,-0.227065325672208,0,0.009860110365567,0.011669331815118,0,-0.147654265165329
0.555410027541548,0.032054581405011,3642644.5,264510.40625,0.009444461989538,-0.235979458474854,0,0.008127293109294,0.010874483670628,0,-0.13629624247551
