C_[0]_average,C_[0]_stddev,v_average:0,v_average:1,v_average:2,v_stddev:0,v_stddev:1,v_stddev:2,Points:0
0,0,0,0,0,0,0,0,-0.567901015281677
0,0,0,0,0,0,0,0,-0.556542992591858
0,0,0,0,0,0,0,0,-0.545184969902039
0,0,0,0,0,0,0,0,-0.533826947212219
0,0,0,0,0,0,0,0,-0.5224689245224
1.68396415379139E-08,1.30586334940955E-08,-8.43785770125966E-10,2.71977050203468E-08,0,1.21974309781785E-08,2.67597316519624E-08,0,-0.511110901832581
0.016044510233059,0.012442008528617,-0.000803942560723,0.025913496581379,0,0.011621469559782,0.025496132387985,0,-0.499752879142761
0.047752968342469,0.017459556210686,-0.001219509738041,0.083581056193968,0,0.014568365346281,0.025985095071639,0,-0.488394886255264
0.0823813494681,0.01115293790693,0.002439129216307,0.124893594639387,0,0.011062143353702,0.014243879782814,0,-0.477036863565445
0.107623425019208,0.011778642242955,0.005700428090088,0.141431334384523,0,0.008936624369801,0.011829915281761,0,-0.465678840875626
0.134391302784433,0.013339969883577,0.008369176272762,0.156687685063078,0,0.008868843889547,0.01071848777031,0,-0.454320818185806
0.156323369331918,0.009875325072409,0.011516518890191,0.159729801022335,0,0.008346388893656,0.00862786070756,0,-0.442962795495987
0.175883661313367,0.011091069108392,0.014049853714309,0.155919931092938,0,0.007182359828883,0.007807959704996,0,-0.431604772806168
0.192711902487268,0.008971351508787,0.013184776740968,0.147069067643283,0,0.006557251673787,0.007787202825287,0,-0.420246750116348
0.206976627219071,0.009751075145026,0.017037191616052,0.131218173115102,0,0.007198916604269,0.010364723638818,0,-0.408888727426529
0.217954855237982,0.008266356073171,0.016666810128412,0.115012275873065,0,0.006951989962486,0.009093885139363,0,-0.39753070473671
0.22510610287167,0.006487018412867,0.017966168050495,0.099224041424505,0,0.005551642151602,0.008408396413052,0,-0.38617268204689
0.23036240848028,0.005830305391412,0.018142706457227,0.080139805514291,0,0.006817736242707,0.008008206766674,0,-0.374814659357071
0.233051029788884,0.00435101220473,0.016645723946479,0.061869737441499,0,0.005266779023107,0.009216555981139,0,-0.363456636667252
0.23312544545083,0.003614710853612,0.018520357341915,0.045417743493161,0,0.006321135213195,0.006903733313326,0,-0.352098643779755
0.231759070741025,0.00285814743185,0.017556100814029,0.029573020590385,0,0.006046004529212,0.007687688075074,0,-0.340740621089935
0.228663774876189,0.002427193981842,0.016920124098353,0.01501553578752,0,0.005192908685062,0.005297043281271,0,-0.329382598400116
0.224742101479521,0.002503926762778,0.017659785771831,0.003907662773244,0,0.004770862175113,0.005138717257826,0,-0.318024575710297
0.219880388179678,0.002067389415377,0.017430064848918,-0.006401665315461,0,0.004939220866004,0.005354597385204,0,-0.306666553020477
0.21386530819333,0.002970705179642,0.017525536019563,-0.017064748157731,0,0.005332964449072,0.005665153612681,0,-0.295308530330658
0.208434653465346,0.00286671056683,0.018003547227723,-0.026173208910892,0,0.005166561665152,0.006074333262619,0,-0.283950507640839
0.201119186885164,0.002928411738955,0.018929856562143,-0.036026785762996,0,0.004472011505933,0.004597104382109,0,-0.272592484951019
0.195242215025366,0.002953957095337,0.020004158262921,-0.043670839900093,0,0.004356843466042,0.005819435721685,0,-0.2612344622612
0.188581293528674,0.003478578915409,0.021998273846136,-0.051451309234145,0,0.004032171625666,0.005245889713616,0,-0.249876439571381
0.183021784803989,0.002835084361923,0.022917401546092,-0.058253592826868,0,0.003538183399601,0.004768395765525,0,-0.238518431782722
0.178245922045218,0.002718668777581,0.023885630439016,-0.06368075600171,0,0.004020516217521,0.005566209654313,0,-0.227160409092903
0.174444703169777,0.002555934375074,0.026158473148053,-0.070091030356672,0,0.003821242259351,0.005183764920633,0,-0.215802386403084
0.173371396487909,0.002882277541557,0.026610043740654,-0.076397391193833,0,0.003793845275232,0.004990163787118,0,-0.204444363713264
0.176218973451694,0.003496764001088,0.027729858252894,-0.083351560176992,0,0.004300964033312,0.006317851902768,0,-0.193086341023445
0.184806692807766,0.005437228762187,0.027286275721246,-0.093536363817074,0,0.004546600764957,0.00733888069006,0,-0.181728318333626
0.201505347672512,0.009418184761647,0.024676568696257,-0.10460822488277,0,0.00553174962612,0.008036821358421,0,-0.170370310544968
0.236603127562692,0.01483868780735,0.024942625955831,-0.122602925027114,0,0.006911281739773,0.009967199870325,0,-0.159012287855148
0.289393400399943,0.024832188550922,0.018391221119985,-0.144869057068978,0,0.010668616047721,0.011117239321188,0,-0.147654265165329
0.382169388586635,0.035370196778524,0.009357672205166,-0.166422942593192,0,0.009994884361868,0.013580113692188,0,-0.13629624247551
0.499828168708834,0.065688823673472,0.013104798574556,-0.185470249736998,0,0.015587870239761,0.014807999097028,0,-0.12493821978569
0.658297395051217,0.062562827466068,-0.013034358372654,-0.192496187197044,0,0.024332604997183,0.015370944409524,0,-0.113580204546452
0.99527555482734,0.023594379750107,-0.000775574196375,-0.005303346117189,0,0.004561115616044,0.026234656638886,0,-0.102222181856632
1,0,0,0,0,0,0,0,-0.090864159166813
1,0,0,0,0,0,0,0,-0.079506143927574
1,0,0,0,0,0,0,0,-0.068148121237755
1,0,0,0,0,0,0,0,-0.056790102273226
1,0,0,0,0,0,0,0,-0.045432079583407
1,0,0,0,0,0,0,0,-0.034074060618878
1,0,0,0,0,0,0,0,-0.022716039791703
1,0,0,0,0,0,0,0,-0.011358019895852
1,0,0,0,0,0,0,0,-1.99840144432528E-15
1,0,0,0,0,0,0,0,0.011358019895852
1,0,0,0,0,0,0,0,0.022716039791703
1,0,0,0,0,0,0,0,0.034074060618878
