"id","C_[0]","Cd_[0]","type","v:0","v:1","v:2","Points:0","Points:1","Points:2"
1,0,0,1,0,0,0,0,0,0
2,0,0,1,0,0,0,0.0625,0,0
3,0,0,1,0,0,0,0.125,0,0
4,0,0,1,0,0,0,0.1875,0,0
5,0,0,1,0,0,0,0.25,0,0
6,0,0,1,0,0,0,0.3125,0,0
7,0,0,1,0,0,0,0.375,0,0
8,0,0,1,0,0,0,0.4375,0,0
9,0,0,1,0,0,0,0.5,0,0
10,0,0,1,0,0,0,0.5625,0,0
11,0,0,1,0,0,0,0.625,0,0
12,0,0,1,0,0,0,0.6875,0,0
13,0,0,1,0,0,0,0.75,0,0
14,0,0,1,0,0,0,0.8125,0,0
15,0,0,1,0,0,0,0.875,0,0
16,0,0,1,0,0,0,0.9375,0,0
17,0,0,1,0,0,0,1,0,0
18,0,0,1,0,0,0,0,0.0625,0
19,1211.11,1445,1,0,0,0,0.0625,0.0625,0
20,2373.64,2601,1,0,0,0,0.125,0.0625,0
21,3441.57,3757,1,0,0,0,0.1875,0.0625,0
22,4373.67,4913,1,0,0,0,0.25,0.0625,0
23,5135.12,6936,1,0,0,0,0.3125,0.0625,0
24,5698.55,5780,1,0,0,0,0.375,0.0625,0
25,6044.38,6936,1,0,0,0,0.4375,0.0625,0
26,6160.95,4913,1,0,0,0,0.5,0.0625,0
27,6044.38,6069,1,0,0,0,0.5625,0.0625,0
28,5698.55,6358,1,0,0,0,0.625,0.0625,0
29,5135.12,6358,1,0,0,0,0.6875,0.0625,0
30,4373.67,5780,1,0,0,0,0.75,0.0625,0
31,3441.57,1445,1,0,0,0,0.8125,0.0625,0
32,2373.64,1445,1,0,0,0,0.875,0.0625,0
33,1211.11,1156,1,0,0,0,0.9375,0.0625,0
34,0,0,1,0,0,0,1,0.0625,0
35,0,0,1,0,0,0,0,0.125,0
36,2473.49,2890,1,0,0,0,0.0625,0.125,0
37,4847.1,4335,1,0,0,0,0.125,0.125,0
38,7026.43,6358,1,0,0,0,0.1875,0.125,0
39,8927.290000000001,11271,1,0,0,0,0.25,0.125,0
40,10479,11560,1,0,0,0,0.3125,0.125,0
41,11626.5,12138,1,0,0,0,0.375,0.125,0
42,12330.4,11849,1,0,0,0,0.4375,0.125,0
43,12567.6,8670,1,0,0,0,0.5,0.125,0
44,12330.4,13005,1,0,0,0,0.5625,0.125,0
45,11626.5,10693,1,0,0,0,0.625,0.125,0
46,10479,11849,1,0,0,0,0.6875,0.125,0
47,8927.290000000001,8381,1,0,0,0,0.75,0.125,0
48,7026.43,8092,1,0,0,0,0.8125,0.125,0
49,4847.1,5202,1,0,0,0,0.875,0.125,0
50,2473.49,1734,1,0,0,0,0.9375,0.125,0
51,0,0,1,0,0,0,1,0.125,0
52,0,0,1,0,0,0,0,0.1875,0
53,3841.12,3468,1,0,0,0,0.0625,0.1875,0
54,7525.23,6647,1,0,0,0,0.125,0.1875,0
55,10904.6,12716,1,0,0,0,0.1875,0.1875,0
56,13848.5,10693,1,0,0,0,0.25,0.1875,0
57,16248.5,21675,1,0,0,0,0.3125,0.1875,0
58,18021.1,17629,1,0,0,0,0.375,0.1875,0
59,19107.5,18207,1,0,0,0,0.4375,0.1875,0
60,19473.4,20519,1,0,0,0,0.5,0.1875,0
61,19107.5,19652,1,0,0,0,0.5625,0.1875,0
62,18021.1,16184,1,0,0,0,0.625,0.1875,0
63,16248.5,18496,1,0,0,0,0.6875,0.1875,0
64,13848.5,12138,1,0,0,0,0.75,0.1875,0
65,10904.6,11271,1,0,0,0,0.8125,0.1875,0
66,7525.23,7803,1,0,0,0,0.875,0.1875,0
67,3841.12,6358,1,0,0,0,0.9375,0.1875,0
68,0,0,1,0,0,0,1,0.1875,0
69,0,0,1,0,0,0,0,0.25,0
70,5373.83,5491,1,0,0,0,0.0625,0.25,0
71,10523.7,9248,1,0,0,0,0.125,0.25,0
72,15240.3,13872,1,0,0,0,0.1875,0.25,0
73,19340.9,21675,1,0,0,0,0.25,0.25,0
74,22676.8,22253,1,0,0,0,0.3125,0.25,0
75,25135.7,26010,1,0,0,0,0.375,0.25,0
76,26640.5,26877,1,0,0,0,0.4375,0.25,0
77,27147,32368,1,0,0,0,0.5,0.25,0
78,26640.5,25721,1,0,0,0,0.5625,0.25,0
79,25135.7,23987,1,0,0,0,0.625,0.25,0
80,22676.8,23409,1,0,0,0,0.6875,0.25,0
81,19340.9,15028,1,0,0,0,0.75,0.25,0
82,15240.3,16762,1,0,0,0,0.8125,0.25,0
83,10523.7,11849,1,0,0,0,0.875,0.25,0
84,5373.83,6647,1,0,0,0,0.9375,0.25,0
85,0,0,1,0,0,0,1,0.25,0
86,0,0,1,0,0,0,0,0.3125,0
87,7141.44,6647,1,0,0,0,0.0625,0.3125,0
88,13976.3,17918,1,0,0,0,0.125,0.3125,0
89,20221.2,17340,1,0,0,0,0.1875,0.3125,0
90,25633.8,27744,1,0,0,0,0.25,0.3125,0
91,30022.5,34680,1,0,0,0,0.3125,0.3125,0
92,33247.7,33524,1,0,0,0,0.375,0.3125,0
93,35217.1,41038,1,0,0,0,0.4375,0.3125,0
94,35879.1,41038,1,0,0,0,0.5,0.3125,0
95,35217.1,38148,1,0,0,0,0.5625,0.3125,0
96,33247.7,35258,1,0,0,0,0.625,0.3125,0
97,30022.5,29189,1,0,0,0,0.6875,0.3125,0
98,25633.8,28611,1,0,0,0,0.75,0.3125,0
99,20221.2,23987,1,0,0,0,0.8125,0.3125,0
100,13976.3,13872,1,0,0,0,0.875,0.3125,0
101,7141.44,8381,1,0,0,0,0.9375,0.3125,0
102,0,0,1,0,0,0,1,0.3125,0
103,0,0,1,0,0,0,0,0.375,0
104,9229.73,9248,1,0,0,0,0.0625,0.375,0
105,18045.6,20230,1,0,0,0,0.125,0.375,0
106,26071.2,21675,1,0,0,0,0.1875,0.375,0
107,32994.6,30634,1,0,0,0,0.25,0.375,0
108,38580.6,36414,1,0,0,0,0.3125,0.375,0
109,42667.2,48552,1,0,0,0,0.375,0.375,0
110,45154.2,44217,1,0,0,0,0.4375,0.375,0
111,45988.7,41616,1,0,0,0,0.5,0.375,0
112,45154.2,49419,1,0,0,0,0.5625,0.375,0
113,42667.2,43061,1,0,0,0,0.625,0.375,0
114,38580.6,42483,1,0,0,0,0.6875,0.375,0
115,32994.6,31790,1,0,0,0,0.75,0.375,0
116,26071.2,27166,1,0,0,0,0.8125,0.375,0
117,18045.6,17340,1,0,0,0,0.875,0.375,0
118,9229.73,7225,1,0,0,0,0.9375,0.375,0
119,0,0,1,0,0,0,1,0.375,0
120,0,0,1,0,0,0,0,0.4375,0
121,11750.1,14161,1,0,0,0,0.0625,0.4375,0
122,22939.1,22831,1,0,0,0,0.125,0.4375,0
123,33068.4,35547,1,0,0,0,0.1875,0.4375,0
124,41745.2,38726,1,0,0,0,0.25,0.4375,0
125,48694,47974,1,0,0,0,0.3125,0.4375,0
