"id_average","id_stddev","C_[0]_average","C_[0]_stddev","C_[1]_average","C_[1]_stddev","Cd_[0]_average","Cd_[0]_stddev","Cd_[1]_average","Cd_[1]_stddev","v_average:0","v_average:1","v_average:2","v_stddev:0","v_stddev:1","v_stddev:2","c_rhoatom_average","c_rhoatom_stddev","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
636,0,3025000,0,0,0,3024999,0.5694972276687622,0,0,0,0,0,0,0,0,1000,0,1,0,-0.6000000238418579,0,0
637,0,3025000,0,0,0,3024999,0.5694972276687622,0,0,0,0,0,0,0,0,1000,0,1,0.01200002431869507,-0.5879999995231628,0,0
637,0,3025000,0,0,0,3024999,0.5694972276687622,0,0,0,0,0,0,0,0,1000,0,1,0.02399998903274536,-0.5760000348091125,0,0
638,0,3025000,0,0,0,3024999,0.5694972276687622,0,0,0,0,0,0,0,0,1000,0,1,0.03600001335144043,-0.5640000104904175,0,0
639,0,3025000,0,0,0,3024999,0.5694972276687622,0,0,0,0,0,0,0,0,1000,0,1,0.04799997806549072,-0.5520000457763672,0,0
639,0,3025000,0,0,0,3024999,0.5694972276687622,0,0,0,0,0,0,0,0,1000,0,1,0.06000000238418579,-0.5400000214576721,0,0
640,0,3025000,0,0,0,3024999,0.5694972276687622,0,0,0,0,0,0,0,0,1000,0,1,0.07200002670288086,-0.5279999971389771,0,0
641,0,3025000,0,0,0,3024999,0.5694972276687622,0,0,0,0,0,0,0,0,1000,0,1,0.08399999141693115,-0.5160000324249268,0,0
640.9996337890625,0,3024999.873498888,0.008628008469465154,0,0,3024998.75,0.6610717177391052,0,0,0,0,0,0,0,0,1000,0,1,0.09600001573562622,-0.5040000081062317,0,0
276,0,2897659.741934107,8685.242387227894,8.08290630536439e-40,1.032242866150205e-41,2896644,92182.4921875,0,0,0,0,0,0,0,0,1000,0,1,0.1080000102519989,-0.492000013589859,0,0
277,0,2772862.549019611,17101.80782132093,1.627304117647019e-33,2.078179559477476e-35,2773153,104137.859375,0,0,0,0,0,0,0,0,1000,0,1,0.1200000047683716,-0.4800000190734863,0,0
277,0,2772862.549019608,17101.80782132114,1.627304117647059e-33,2.078179559477528e-35,2773153,104137.859375,0,0,0,0,0,0,0,0,1000,0,1,0.1319999992847443,-0.4680000245571136,0,0
278,0,2648442.476541535,25302.40037153104,1.616581388262481e-39,2.064485894730302e-41,2634418.25,92952.7890625,0,0,0,0,0,0,0,0,1000,0,1,0.1439999938011169,-0.456000030040741,0,0
279,0,2524634.509803921,33179.63598907545,2.176905098039216e-30,2.845520761963727e-32,2528068.75,99079.1015625,0,0,0,0,0,0,0,0,1000,0,1,0.156000018119812,-0.4440000057220459,0,0
279,0,2524634.448930932,33179.63967933336,2.176904016758887e-30,2.845519348578445e-32,2528068.75,99079.09375,0,0,0,0,0,0,0,0,1000,0,1,0.1680000126361847,-0.4320000112056732,0,0
280,0,2402080.980392162,40609.10736521537,9.280704623105361e-44,1.213118464120723e-45,2406297.25,89438.3359375,0,0,0,0,0,0,0,0,1000,0,1,0.1800000071525574,-0.4200000166893005,0,0
281,0,2280951.040558082,47496.93362160818,1.278899560841798e-27,1.70870036071983e-29,2280789.75,97684.6953125,0,0,0,0,0,0,0,0,1000,0,1,0.1920000016689301,-0.4080000221729279,0,0
281,0,2280950.980392157,47496.93704283038,1.278900196078431e-27,1.708701209440948e-29,2280789.75,97684.703125,0,0,0,0,0,0,0,0,1000,0,1,0.2039999961853027,-0.3960000276565552,0,0
282,0,2161421.058585663,53758.31336465367,6.207643178697041e-31,8.282899279413802e-33,2172304.75,86830.8671875,0,0,0,0,0,0,0,0,1000,0,1,0.2160000205039978,-0.3840000033378601,0,0
