"id_average","id_stddev","C_[0]_average","C_[0]_stddev","C_[1]_average","C_[1]_stddev","Cd_[0]_average","Cd_[0]_stddev","Cd_[1]_average","Cd_[1]_stddev","v_average:0","v_average:1","v_average:2","v_stddev:0","v_stddev:1","v_stddev:2","c_rhoatom_average","c_rhoatom_stddev","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
546,0,2264574.080235302,135248.4069823089,1.05444364751441e-19,7.916140318208658e-22,2289374,188469.25,0,0,0,0,0,0,0,0,1000,0,1,0.3439998030662537,-0.2293332070112228,-1.110223024625157e-16,0
547,0,2120629.675184337,132882.9047999516,4.932978649647197e-26,3.703389106604773e-28,2157573,177036.1875,0,0,0,0,0,0,0,0,1000,0,1,0.3554664850234985,-0.2178665548563004,-1.110223024625157e-16,0
548,0,1978408.62745098,129608.2110994154,3.134070392156863e-17,2.350472509532916e-19,1993124.125,154953.171875,0,0,0,0,0,0,0,0,1000,0,1,0.366933137178421,-0.2063998878002167,-1.110223024625157e-16,0
548,0,1978408.62745098,129608.2110994154,3.134070392156863e-17,2.350472509532916e-19,1993124.125,154953.171875,0,0,0,0,0,0,0,0,1000,0,1,0.3783997893333435,-0.1949332356452942,-1.110223024625157e-16,0
549,0,1837866.87005059,125448.7802724899,8.354752915336649e-16,6.264476894844848e-18,1841580.375,157744.21875,0,0,0,0,0,0,0,0,1000,0,1,0.3898664712905884,-0.1834665685892105,-1.110223024625157e-16,0
550,0,1698953.065857932,120432.3329513757,2.626103127274354e-19,1.96728372245751e-21,1716837.375,148273.421875,0,0,0,0,0,0,0,0,1000,0,1,0.4013331234455109,-0.1719999015331268,-1.110223024625157e-16,0
551,0,1561600.616794104,114595.1883694318,5.052061498577553e-13,3.784633683187258e-15,1549631.625,162816.109375,0,0,0,0,0,0,0,0,1000,0,1,0.4127997756004333,-0.1605332493782043,-1.110223024625157e-16,0
552,0,1425733.284405391,107976.3961192875,1.110123596905735e-16,8.308985091828835e-19,1440329.875,133337.265625,0,0,0,0,0,0,0,0,1000,0,1,0.4242664575576782,-0.1490665823221207,-1.110223024625157e-16,0
553,0,1291266.323437779,100622.8904350017,3.050915164385471e-10,2.283530292300053e-12,1299263.875,134749.25,0,0,0,0,0,0,0,0,1000,0,1,0.4357330799102783,-0.1375999301671982,-1.110223024625157e-16,0
554,0,1158103.254901961,92584.32816750975,0,0,1156984.125,133114.125,0,0,0,0,0,0,0,0,1000,0,1,0.4471997618675232,-0.1261332631111145,-1.110223024625157e-16,0
